Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
Andre Iguodala,SF,35,GSW,68,13,1578,4.6,9.1,0.5,1.4,4.3,0.333,3.1,4.8,0.652,1.2,2,0.582,1.4,6.2,7.6,6.5,1.8,1.5,1.6,2.9,11.7,124,109,13.1,0.587,0.477,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.2,1.7,1.9,1.6,"$17,185,185 ",,,,,,,,,,,,
Ante Žižić,C,23,CLE,4,0,64,7.5,13.6,0.556,0,0,0,7.5,13.6,0.556,3,3.8,0.8,3.8,6.8,10.6,0,0.8,0.8,0.8,6,18.1,124,114,13.9,0.594,0,0.278,8.3,15.4,11.8,0,0.8,1.3,4.7,14.1,0.1,0,0.1,0.112,-3,-4.2,-7.3,-0.1,"$2,281,800 ",Cavaliers,64,-3.6,-1.4,-4.9,1.6,-8,-6.4,-2.7,-2.6,-5.3,-0.1
Boban Marjanović,C,31,DAL,8,1,104,11,22.1,0.5,0,0.5,0,11,21.6,0.511,4.6,5.5,0.833,5.5,11.5,17,2.3,0.9,0.5,3.2,6.4,26.7,110,108,17.9,0.544,0.021,0.25,12.3,24.1,18.4,7.5,0.9,0.8,11.6,24.4,0.1,0.1,0.3,0.12,-2.7,-2.1,-4.8,-0.1,"$3,500,000 ",Mavericks,104,0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2
Bogdan Bogdanović,SG,27,SAC,16,0,445,9.4,22.5,0.417,5.1,12.9,0.393,4.3,9.6,0.448,3.2,4.4,0.725,0.2,4.5,4.7,8.5,2.8,0.2,3.2,3.3,27,111,110,18,0.553,0.574,0.196,0.5,10.8,5.5,28.3,2.8,0.4,11.6,24.5,0.7,0.4,1.1,0.118,3.4,-1.5,1.9,0.4,"$8,529,386 ",Kings,445,4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7
Bojan Bogdanović,SF,30,UTA,17,17,565,10.6,22.1,0.479,4.7,10,0.466,5.9,12.1,0.49,5.1,5.7,0.882,0.9,5.1,6,3.1,1.1,0.3,4,2.9,30.9,111,107,17.9,0.627,0.452,0.261,2.2,10.9,6.8,11.6,1.1,0.6,13.9,26,0.9,0.7,1.6,0.138,2.5,-0.8,1.8,0.5,"$17,000,000 ",Jazz,565,1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5
Brian Bowen,SG,21,IND,3,0,10,4.8,19.3,0.25,0,4.8,0,4.8,14.5,0.333,0,0,0,0,4.8,4.8,0,0,4.8,0,0,9.7,55,104,1.2,0.25,0.25,0,0,10.8,5.4,0,0,8.8,0,17.1,0,0,0,-0.114,-12,0.4,-11.6,0,,Pacers,10,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0
Cameron Payne,PG,24,TOT,40,13,712,6.6,15.3,0.43,1.7,5.8,0.298,4.9,9.5,0.511,2.3,2.8,0.805,0.9,4,4.9,7.3,1.9,0.6,3.1,4.4,17.1,103,115,11.5,0.519,0.377,0.184,2,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-1.9,-1.6,-3.5,-0.3,"$150,000 ",,,,,,,,,,,,
Charlie Brown,SG,22,ATL,4,0,16,2.9,8.8,0.333,2.9,2.9,1,0,5.8,0,11.7,11.7,1,5.8,2.9,8.8,0,0,2.9,0,0,20.4,169,118,21.7,0.735,0.333,1.333,13.8,6.9,10.4,0,0,5.7,0,12.3,0.1,0,0.1,0.25,2.2,-4.4,-2.2,0,,Hawks,16,2.7,7.3,10,3.3,12.6,15.9,3,8.8,11.8,0.1
Chris Chiozza,PG,24,WAS,3,0,37,2.5,11.2,0.222,2.5,5,0.5,0,6.2,0,0,0,0,0,5,5,8.7,2.5,2.5,3.7,7.5,7.5,78,112,4.8,0.333,0.444,0,0,12.1,5.9,21.2,2.5,4.5,25,13.3,-0.1,0,0,-0.061,-6.2,1.2,-5,0,,Wizards,37,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2,0.1
Chris Clemons,SG,22,HOU,12,0,101,8.1,19,0.429,6.3,15.8,0.4,1.8,3.2,0.571,1.4,1.8,0.75,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5,24,114,113,13.4,0.606,0.833,0.095,2,7,4.5,9.1,0.9,1.7,10.3,19.6,0.2,0.1,0.2,0.1,1.1,-3.3,-2.2,0,,Rockets,101,3.1,1.9,5,-2.1,0.3,-1.8,2.3,1.7,4,0.4
