Player,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP
RJ Hunter,1,2,2,5,0,3,3,0,11,1.308
James Harden,78,3.08,11.05,5.38,2.81,9.62,8.92,9.55,7.56,1.476
LeBron James,54,5.33,13.56,4.19,2.76,6.35,6.78,6.78,7.37,1.379
Lou Williams,74,2.55,7.05,2.07,0.99,3.14,5.12,4.09,7.35,1.319
Giannis Antetokounmpo,72,4.68,17.47,3.92,2.94,6.06,6.94,7.28,7.29,1.599
Kemba Walker,82,2.88,8.39,3.29,1.67,6.18,6.15,6.37,6.71,1.248
JaKarr Sampson,4,2.5,10,3,3,1.5,7.75,4.25,6.5,1.481
Paul George,77,4.45,7.4,4.88,2.87,7.23,6.66,7.55,6.36,1.338
Devin Booker,64,4.31,10,3.66,1.63,7.95,5.22,6.89,6.19,1.355
Joel Embiid,64,1.53,13.06,3.31,4.14,7.44,7.83,5.89,6.19,1.469
Donovan Mitchell,77,2.31,10.1,3.3,1.6,4.96,5.84,6.82,6.05,1.195
Mike Conley,70,1.87,7.09,3.41,1.39,3.77,5.81,5.26,5.91,1.32
Bradley Beal,81,3.44,9.9,3.69,1.81,7,5.17,7.26,5.77,1.3
Jimmy Butler,65,2.6,8.22,2.58,2.02,3.91,4.74,4.32,5.65,1.344
Kawhi Leonard,60,3.92,9.87,4.23,2.3,6.27,6.78,7.57,5.57,1.414
Russell Westbrook,73,5.16,10.9,4.52,2.73,5.29,5.33,6.68,5.47,1.137
Karl-Anthony Towns,76,0.67,12.13,3.68,4.61,6.41,5.86,6.61,5.36,1.431
Terrence Ross,81,1.68,2.02,1.78,1,2.68,4.69,2.3,5.33,1.191
Trae Young,80,3,7.85,2.44,1.46,4.03,4.76,4.51,5.3,1.232
Zach LaVine,63,3.3,10.7,3.84,2.22,5.97,5.78,6.1,5.29,1.315
Kyrie Irving,67,3.57,8.66,3.36,1.78,7.06,4.63,6.46,5.25,1.286
Montrezl Harrell,81,1.98,12.86,2.02,3.51,2.91,5.41,3,5.14,1.537
Jrue Holiday,67,2.6,11.16,2.91,1.46,4.91,5.45,5.72,5.12,1.225
Anthony Davis,56,2.79,14.25,4.43,4.8,7.73,6.36,6.73,5.11,1.415
Jordan Clarkson,81,1.64,6.72,2.64,1.42,3.48,4.75,3.33,5.05,1.156
Julius Randle,72,2.29,13.19,3.06,3.15,5.83,5.43,5.01,5.04,1.432
CJ McCollum,70,2.7,6.97,2.51,1.77,6.14,3.93,5.69,4.99,1.181
Derrick Rose,51,2.1,8.31,2.16,1.33,4.71,3.82,4.39,4.94,1.218
Damian Lillard,80,2.64,7.83,3.46,1.76,6.91,4.2,9.45,4.93,1.348
John Collins,60,1.93,13,2.72,4.2,5.57,5.12,3.95,4.9,1.436
Dennis Schroder,79,2.46,5.92,2.24,1.03,2.87,3.99,3.75,4.86,1.109
Spencer Dinwiddie,68,1.44,6.59,2.26,1.5,2.72,4.22,4.72,4.79,1.38
Victor Oladipo,36,3.92,5.78,3.22,1.08,3.92,4.67,5.14,4.78,1.148
Blake Griffin,74,1.34,10.62,3.23,1.96,6.89,6.05,6.43,4.73,1.384
