Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
James Harden,13.05,70.93,27.76,1.15,0.16,0.399,0.534,0.909,33,40.24,26.76
Paul George,45.97,76.52,19.27,3.47,0.74,0.397,0.518,0.929,38.44,40.57,20.98
Giannis Antetokounmpo,48.68,37.69,35.93,23.9,2.49,0.336,0.607,0.913,67.1,7.82,25.08
Joel Embiid,54.66,61.47,25.69,9.42,3.42,0.368,0.591,0.885,56.9,13.46,29.64
LeBron James,33.82,57.12,33.86,8.09,0.93,0.371,0.632,0.954,58.97,22.27,18.76
Stephen Curry,59.02,79.48,20.22,0.22,0.07,0.436,0.616,0.333,29.56,56.46,13.98
Kawhi Leonard,36.07,73.87,20.37,5.05,0.71,0.429,0.626,0.947,56.14,21.05,22.81
Devin Booker,36.01,73.94,24.22,1.51,0.32,0.421,0.589,0.737,53.06,23.82,23.12
Kevin Durant,48.96,78.45,12.65,8.68,0.22,0.467,0.566,0.95,57.62,20.28,22.1
Anthony Davis,65.28,57.89,22.61,14.62,4.87,0.379,0.573,0.927,66.39,9.92,23.69
Damian Lillard,28.63,68.36,28.9,2.28,0.46,0.402,0.528,0.686,42.96,34.4,22.64
Kemba Walker,28.45,70.67,29.22,0,0.12,0.396,0.524,0,44.81,37.11,18.08
Bradley Beal,50.8,67.8,27.42,4.28,0.5,0.394,0.606,0.897,52.93,30.04,17.03
Blake Griffin,40.69,62.11,33,3.06,1.83,0.376,0.59,0.9,46.36,30.96,22.68
Karl-Anthony Towns,65.63,65.54,24.06,7.79,2.62,0.451,0.564,0.931,57.65,22.63,19.72
Kyrie Irving,37.25,71.88,26.75,0.16,1.21,0.455,0.572,0.5,53.88,32.71,13.41
Donovan Mitchell,33.43,69.28,27.71,2.29,0.72,0.391,0.498,0.857,51.72,30.84,17.44
Zach LaVine,37.55,54.71,38.68,6.34,0.26,0.356,0.542,0.944,54.96,24.13,20.91
Russell Westbrook,25.4,60.9,35.57,2.78,0.75,0.314,0.586,0.805,61.01,21.31,17.67
Klay Thompson,80.92,83.59,14.05,1.93,0.43,0.424,0.67,0.889,49.29,43.04,7.68
Julius Randle,53.9,47.96,43.03,7.25,1.77,0.372,0.622,0.949,64.63,12.85,22.52
LaMarcus Aldridge,59.21,70.13,21.38,3.41,5.08,0.45,0.656,0.933,78.05,1.74,20.21
DeMar DeRozan,28.37,72.73,25.44,1.52,0.3,0.414,0.635,1,76.33,1.28,22.39
Jrue Holiday,36.75,62.12,34.6,2.42,0.86,0.388,0.589,0.893,60.42,24.93,14.65
D'Angelo Russell,28.83,83.06,16.28,0.26,0.4,0.415,0.53,0.75,49.65,41,9.35
Mike Conley,39.59,77.68,22.23,0,0.09,0.408,0.538,0,45.33,31.46,23.21
Luka Doncic,27.16,75.49,20.57,2.23,1.71,0.373,0.558,0.962,43.93,33.64,22.43
CJ McCollum,46.58,81.17,17.3,1.05,0.48,0.442,0.516,1,55.04,34.13,10.83
Nikola Vucevic,70.9,71.64,17.36,3.91,7.09,0.46,0.664,0.887,74.11,15.14,10.75
John Wall,25.31,58.33,38.77,2.9,0,0.342,0.565,0.875,58.52,23.08,18.4
Buddy Hield,65.59,76.1,19.6,2.52,1.78,0.423,0.53,0.941,41,49.17,9.83
Nikola Jokic,53.96,63.62,31.22,0.85,4.31,0.439,0.631,1,66.16,15.75,18.09
Tobias Harris,49.92,71.45,22.73,4.47,1.36,0.443,0.533,0.929,55.24,28.54,16.22
JaKarr Sampson,51.72,68.52,25.93,1.85,3.7,0.514,0.571,1,60,18.75,21.25
Lou Williams,30.25,75.98,23.58,0.36,0.09,0.393,0.513,1,50.27,21.14,28.59
Danilo Gallinari,61.19,73.04,20.74,5.18,1.04,0.42,0.5,0.867,37.4,35.2,27.4
John Collins,75.65,36.87,37,19.29,6.84,0.371,0.558,0.886,68.88,14.03,17.09
Trae Young,26.9,67.78,32.06,0,0.16,0.372,0.509,0,47.76,29.88,22.36
Victor Oladipo,40.56,73.64,22.11,3.57,0.68,0.381,0.508,0.762,51.85,32.89,15.26
Kyle Kuzma,69.04,67.16,25.75,5.6,1.49,0.376,0.547,0.967,56.3,29.47,14.23
Lauri Markkanen,68.42,74.09,18.11,3.52,4.28,0.377,0.493,1,45.59,36.96,17.45
Jimmy Butler,51.2,63.61,26.44,7.63,2.32,0.367,0.544,0.971,57.78,16.54,25.68
Brandon Ingram,40.88,59.12,33.33,6.17,1.37,0.42,0.551,0.933,69.68,9.79,20.53
Khris Middleton,42.49,79.53,17.77,1.74,0.96,0.413,0.529,0.95,46.48,38.17,15.35
Tim Hardaway Jr.,55.13,79.96,18.03,1.61,0.4,0.36,0.492,0.875,38.84,41.4,19.76
JJ Redick,89.38,89.68,10.32,0,0,0.423,0.585,0,30.9,52.48,16.62
Andrew Wiggins,53.58,68.46,26.66,3.45,1.43,0.34,0.533,0.854,57.43,26.79,15.78
Jamal Murray,57.49,76.52,20.19,2.51,0.78,0.399,0.515,0.862,52.77,33.51,13.72
Derrick Rose,31.4,67.07,32.67,0.13,0.13,0.43,0.589,1,67.39,17.67,14.94
T.J. Warren,63.97,67.76,27.99,3.11,1.15,0.423,0.579,0.947,56.99,29.92,13.08
Bojan Bogdanovic,72.99,65.24,31.05,2.95,0.76,0.429,0.592,1,49.24,33.84,16.92
Andre Drummond,57.01,26.42,41.66,16.49,15.43,0.398,0.507,0.86,81.21,1.11,17.69
De'Aaron Fox,23.45,65.38,30.48,3.96,0.18,0.385,0.556,0.953,60.03,18.75,21.22
RJ Hunter,66.67,84.62,7.69,7.69,0,0.455,0,1,23.53,70.59,5.88
Kevin Love,70.64,77.74,17.67,1.41,3.18,0.359,0.46,1,29.95,42.51,27.54
Pascal Siakam,56.65,51.96,39.37,6.35,2.33,0.434,0.632,0.967,64.99,17.5,17.5
Ben Simmons,43.52,35.42,46.04,14.17,4.38,0.391,0.588,0.912,80.78,0,19.22
Jordan Clarkson,40.64,76.02,20.59,1.53,1.86,0.405,0.584,0.889,56.45,31.67,11.88
Spencer Dinwiddie,29.78,64.01,33.82,2.05,0.12,0.366,0.561,0.882,42.34,32.55,25.11
Collin Sexton,39.11,69.59,29.08,0.75,0.58,0.392,0.513,0.778,58.35,26.04,15.61
Clint Capela,81.22,15.98,42.76,34.29,6.97,0.41,0.543,0.932,85.1,0,14.9
Montrezl Harrell,69.65,27.94,42.08,24.06,5.93,0.424,0.572,0.9,79.52,0.67,19.81
Josh Richardson,60.76,78.46,18.42,2.73,0.39,0.38,0.476,0.893,42.85,40.69,16.46
Harrison Barnes,65.09,76.04,20.2,3.17,0.59,0.371,0.52,0.875,40.58,41.14,18.28
Deandre Ayton,71.12,51.95,25.29,14.83,7.93,0.458,0.614,0.953,87.83,0,12.17
DeMarcus Cousins,62.92,50.67,40.16,6.74,2.43,0.335,0.584,0.92,62.3,15.98,21.72
Eric Gordon,68.23,73.45,25.69,0.75,0.11,0.361,0.531,1,30.46,58.75,10.79
Aaron Gordon,59.15,63,22.18,10.33,4.49,0.351,0.5,0.926,56.02,29.13,14.85
Eric Bledsoe,39.79,56.38,40.95,1.44,1.23,0.349,0.651,1,55.76,29.98,14.26
Rudy Gobert,73.53,10.25,32.87,42.7,14.19,0.329,0.504,0.901,74.14,0,25.86
Jayson Tatum,58.58,67.76,24.23,6.76,1.25,0.376,0.518,0.929,56.32,28,15.69
Malcolm Brogdon,56.88,45.11,53.55,0.94,0.4,0.404,0.585,0.857,54.75,31.17,14.09
Jusuf Nurkic,65.95,49.76,32.45,9.69,8.11,0.436,0.552,0.85,74.13,0.8,25.07
Chris Paul,13.91,88.89,10.83,0,0.28,0.405,0.526,0,38.63,42.05,19.32
Jonas Valanciunas,59.8,58.55,27.7,7.25,6.51,0.498,0.57,0.949,75.23,5.5,19.27
Dennis Schroder,33.7,72.01,27.9,0.09,0,0.39,0.474,1,54.41,30.39,15.2
Reggie Jackson,42.86,78.64,19.51,1.55,0.29,0.414,0.418,0.813,42.16,41.51,16.33
Jeremy Lamb,54.52,70.48,25.74,2.25,1.53,0.412,0.484,0.818,52.32,28.56,19.12
Kelly Oubre Jr.,64.8,61.88,26.6,8.67,2.85,0.369,0.478,0.863,51,30.95,18.05
Nikola Mirotic,82.77,78.23,17.71,0.92,3.14,0.382,0.677,1,35.01,49.93,15.06
Evan Fournier,62.18,72.68,25.91,1.12,0.28,0.377,0.585,1,51.39,37.44,11.17
Terrence Ross,73.86,91.82,4.87,2.82,0.49,0.41,0.54,0.828,36.47,53.23,10.3
Dwyane Wade,37.74,72.08,24.69,1.88,1.35,0.361,0.603,1,60.94,23.82,15.24
Serge Ibaka,80.82,75.37,13.23,8.67,2.74,0.463,0.655,0.908,74.64,13.22,12.14
Marvin Bagley III,54.7,56.94,25.89,10.3,6.87,0.412,0.486,0.958,70.63,9.9,19.47
Emmanuel Mudiay,35.76,65.45,32.66,1.48,0.4,0.406,0.504,0.909,59.79,23.71,16.49
Jabari Parker,55.12,59.67,26.7,12.67,0.95,0.381,0.541,0.914,65.79,20.07,14.14
Walter Lemon Jr.,26.32,35.63,63.22,1.15,0,0.355,0.473,1,83.72,6.98,9.3
Bobby Portis,66.3,69.19,21.13,4.52,5.16,0.399,0.534,0.786,57.43,32.14,10.43
Kyle Lowry,52.96,80.11,19.49,0,0.41,0.361,0.611,0,31.75,50.86,17.39
Bogdan Bogdanovic,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63
Domantas Sabonis,66.34,48.07,36.66,6.85,8.42,0.442,0.693,0.979,77.47,2.59,19.94
