,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26,OKC,14,368,16.7,.546,.000,.350,11.4,24.3,18.0,17.3,0.8,2.4,15.4,16.3,,0.5,0.4,0.9,.122,,-0.8,2.4,1.6,0.3
1,Bam Adebayo,C,22,MIA,17,551,20.9,.636,.041,.696,8.4,26.9,18.2,21.4,2.3,3.7,19.9,18.8,,1.2,1.2,2.5,.214,,0.7,5.2,5.9,1.1
2,LaMarcus Aldridge,C,34,SAS,19,625,20.4,.578,.106,.226,6.7,15.0,10.8,10.7,0.9,4.2,9.6,23.2,,1.2,0.3,1.5,.118,,1.0,-0.2,0.8,0.5
3,Nickeil Alexander-Walker,SG,21,NOP,16,230,7.3,.436,.545,.125,0.9,16.2,8.3,21.8,1.0,0.7,14.5,24.4,,-0.3,0.0,-0.3,-0.060,,-3.7,-3.0,-6.7,-0.3
4,Grayson Allen,SG,24,MEM,7,115,4.7,.419,.478,.261,0.9,15.0,7.9,15.1,0.8,0.0,14.9,21.7,,-0.2,0.0,-0.2,-0.089,,-5.3,-3.4,-8.8,-0.2
5,Jarrett Allen,C,21,BRK,18,479,22.1,.679,.008,.700,13.5,26.9,20.3,6.3,1.2,4.0,11.8,15.4,,1.5,0.7,2.2,.219,,0.8,1.8,2.7,0.6
6,Al-Farouq Aminu,PF,29,ORL,17,362,8.2,.398,.418,.367,6.4,19.0,12.4,7.6,2.2,2.0,14.1,12.8,,-0.3,0.6,0.3,.033,,-4.6,2.7,-1.9,0.0
7,Kyle Anderson,PF,26,MEM,16,334,14.8,.552,.176,.308,4.8,18.7,11.7,17.3,1.7,3.1,12.7,14.7,,0.4,0.2,0.6,.090,,-0.9,1.4,0.5,0.2
8,Ryan Anderson,PF,31,HOU,2,14,9.8,.357,.714,.000,0.0,50.8,25.5,20.7,3.3,0.0,12.5,23.2,,0.0,0.0,0.0,-0.025,,-6.6,2.2,-4.4,0.0
9,Giannis Antetokounmpo,PF,25,MIL,18,595,32.7,.609,.232,.577,8.2,31.6,20.3,34.1,2.1,3.8,14.4,36.7,,2.1,1.5,3.6,.287,,7.2,5.3,12.5,2.2
10,Kostas Antetokounmpo,PF,22,LAL,2,3,3.9,,,,0.0,36.5,18.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.079,,-9.6,-0.9,-10.5,0.0
11,Thanasis Antetokounmpo,SF,27,MIL,3,13,8.1,.500,.000,.000,15.7,0.0,7.6,10.4,0.0,0.0,20.0,15.7,,0.0,0.0,0.0,.053,,-2.3,-2.5,-4.8,0.0
12,Carmelo Anthony,PF,35,POR,5,146,12.1,.529,.320,.107,2.8,14.4,8.7,9.7,1.0,0.6,14.2,26.1,,-0.1,0.1,0.0,-0.001,,-2.5,-2.6,-5.1,-0.1
13,OG Anunoby,SF,22,TOR,16,476,15.2,.651,.446,.115,3.7,14.7,9.6,7.3,1.6,2.8,11.5,14.8,,0.7,0.8,1.6,.158,,1.4,2.6,3.9,0.7
14,Ryan Arcidiacono,PG,25,CHI,19,325,9.9,.562,.600,.271,3.0,8.0,5.4,15.0,1.6,0.3,11.3,11.2,,0.4,0.2,0.6,.096,,-1.0,-0.7,-1.6,0.0
15,Trevor Ariza,SF,34,SAC,11,227,6.9,.520,.762,.119,2.0,17.6,9.6,5.4,1.9,0.0,13.7,9.8,,0.0,0.2,0.2,.040,,-2.2,0.2,-2.1,0.0
16,D.J. Augustin,PG,32,ORL,17,433,12.9,.499,.361,.257,1.6,7.2,4.3,28.5,1.1,0.0,11.6,18.2,,0.4,0.3,0.7,.081,,-0.9,-2.4,-3.3,-0.1
17,Deandre Ayton,C,21,PHO,1,33,26.5,.643,.000,.000,9.9,27.2,18.4,0.0,1.4,10.6,0.0,18.0,,0.1,0.1,0.2,.226,,-2.5,0.4,-2.1,0.0
