,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean,def_kmean,ov_kmean,shoot_kmean
0,Ante Zizic,22,0,6,11.7,1.8,3.5,52.4,0.0,0.0,0.0,0.7,0.8,80.0,0.8,1.8,2.7,0.0,0.2,1.3,8.4,0,0,-2.0,1.8,23.4,0.2,14.3,0.2,33.3,2.8,3.3,2.8,12.3,-0.008,14.3,19.0,16.8,0.0,0.0,13.8,11.9,38.5,26.7,0.0,5.3,33.3,28.6,25.0,15.9,100.0,0.0,84.6,0.0,0.0,7.7,15.4,84.6,81.8,18.2,0.0,0.0,81.8,18.2,0.7,1.2,0.3,3.7,2.8,3.3,2.8,12.3,0.5,1.3,70.0,-4.5,-2.2,-6.6,0.1,-6.0,-5.9,-3.7,-3.0,-6.7,-0.1,"$2,281,800 ",2,0,2,1
1,Boban Marjanovic,31,6,3,12.0,2.8,5.4,51.0,0.0,0.1,0.0,1.1,1.3,83.3,1.4,2.9,4.3,0.6,0.8,1.7,12.9,0,0,5.6,2.9,29.5,0.2,16.7,0.1,11.1,4.3,2.9,4.0,11.3,0.041,22.9,22.9,23.0,0.0,1.2,29.4,30.8,40.6,32.5,8.6,25.0,38.5,30.6,42.5,20.4,98.0,2.0,83.3,3.3,0.0,3.3,10.0,80.0,44.0,56.0,0.0,0.0,44.0,56.0,0.7,2.6,0.2,5.3,4.3,2.9,4.0,11.3,0.6,1.9,108.0,0.6,-2.8,-2.2,14.4,-1.8,12.6,3.3,-2.8,0.6,0.2,"$3,500,000 ",2,0,2,1
2,Bogdan Bogdanovic,27,8,10,27.5,5.2,12.7,40.6,2.8,7.2,38.5,1.7,2.3,71.4,0.2,2.5,2.7,4.7,1.9,1.8,27.7,2,0,-1.3,2.5,14.1,1.4,34.2,0.1,3.7,9.0,6.1,4.9,24.4,0.068,24.5,24.3,26.4,37.0,35.2,18.3,20.1,4.0,11.7,35.7,21.8,33.3,14.3,19.8,25.0,43.2,56.8,32.3,15.0,56.4,12.8,14.3,17.3,18.6,81.4,80.0,20.0,51.6,48.4,2.1,1.4,1.9,2.6,9.0,6.1,4.9,24.4,0.8,2.3,495.0,3.3,-0.2,3.2,-0.5,-0.1,-0.7,2.8,-0.1,2.6,1.3,"$8,529,386 ",1,1,1,2
3,Bojan Bogdanovic,30,12,8,33.1,7.3,15.3,47.4,3.1,6.8,44.9,3.4,3.9,87.0,0.7,3.7,4.4,2.1,2.8,2.0,29.4,0,0,3.8,3.7,14.4,0.8,18.8,0.2,6.9,12.2,9.5,9.5,31.8,0.118,25.1,26.8,26.4,33.9,31.1,24.0,21.1,12.2,14.0,13.4,25.6,43.1,14.2,18.6,27.1,55.6,44.4,40.2,3.3,43.8,14.1,20.6,36.8,48.8,51.2,88.5,11.5,65.5,34.5,4.3,1.7,3.0,7.7,12.2,9.5,9.5,31.8,1.4,3.0,662.0,1.3,-1.4,-0.1,7.8,-2.2,5.6,2.7,-1.6,1.1,1.3,"$17,000,000 ",1,1,1,0
6,CJ Miles,32,4,6,16.1,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.4,13.4,0,0,-0.8,0.8,7.5,1.0,40.0,0.4,22.2,6.1,4.1,3.7,16.8,0.016,16.9,12.6,17.7,24.4,25.2,23.4,26.7,10.8,8.4,12.8,9.1,12.5,16.5,18.7,15.6,40.7,59.3,25.0,3.1,51.6,14.1,18.8,21.9,75.0,25.0,90.9,9.1,84.2,15.8,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.2,1.4,161.0,0.7,-0.3,0.4,0.7,-5.1,-4.4,0.7,-1.2,-0.5,0.2,"$8,730,158 ",0,0,0,0
8,Chris Chiozza,24,1,4,9.6,0.4,2.2,18.2,0.4,0.8,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,1.0,1.2,7.7,0,0,2.4,1.0,13.9,0.8,44.4,0.4,40.0,3.2,1.8,1.6,7.6,0.121,13.1,5.7,12.4,15.4,10.0,0.0,0.0,0.0,11.6,40.9,22.7,33.3,21.4,8.7,6.3,63.6,36.4,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.6,0.0,3.2,1.8,1.6,7.6,0.4,0.4,48.0,-4.6,5.9,1.4,-13.8,23.7,9.9,-6.8,10.1,3.3,0.1,0,0,0,0,0
9,Chris Clemons,22,9,5,9.1,1.7,4.1,41.4,1.3,3.3,39.1,0.2,0.3,75.0,0.1,0.5,0.6,0.4,0.4,1.0,6.8,0,0,-0.1,0.5,7.4,0.1,13.3,0.1,14.3,3.1,2.9,2.1,9.0,0.033,21.4,23.8,24.4,40.9,32.6,7.0,7.5,7.7,7.4,11.3,16.2,21.4,22.6,15.9,23.9,20.7,79.3,17.4,2.9,78.3,10.1,18.8,14.5,0.0,100.0,66.7,33.3,50.0,50.0,0.9,0.4,0.5,0.7,3.1,2.9,2.1,9.0,0.2,0.5,127.0,1.8,0.5,2.3,-1.7,-2.2,-3.9,1.1,0.0,1.1,0.3,0,0,0,0,2
10,Chris Silva,23,14,4,10.3,1.6,2.3,68.3,0.0,0.1,0.0,1.1,1.6,71.4,2.0,2.3,4.3,0.7,1.3,2.8,12.2,0,0,1.9,2.3,30.6,0.3,16.1,0.8,70.0,5.6,3.2,3.3,8.0,0.051,16.5,17.4,12.5,0.0,1.5,31.7,33.3,63.2,40.3,12.5,26.7,33.3,49.0,38.4,17.1,95.1,4.9,73.7,5.3,0.0,0.0,14.5,68.4,60.7,39.3,0.0,0.0,60.7,39.3,0.6,1.6,0.0,2.9,5.6,3.2,3.3,8.0,0.2,1.6,186.0,-1.1,2.0,0.9,4.3,0.6,4.9,-0.1,1.6,1.5,0.4,0,2,0,2,1
11,Dzanan Musa,20,8,7,16.0,1.7,5.1,32.9,0.5,2.5,18.4,1.3,1.7,73.1,0.5,2.3,2.7,1.3,1.4,0.9,10.4,0,0,-2.5,2.3,18.0,0.5,21.2,0.1,3.2,7.5,5.0,6.1,14.3,0.051,18.4,13.2,17.2,14.0,21.0,19.8,20.3,17.1,17.8,15.3,25.0,30.4,12.1,22.3,14.5,50.0,50.0,47.4,0.0,27.6,14.5,21.1,47.4,66.7,33.3,85.7,14.3,72.0,28.0,1.1,0.7,0.7,2.4,7.5,5.0,6.1,14.3,0.5,1.7,240.0,-4.7,1.0,-3.8,-6.8,-0.1,-6.9,-5.4,0.8,-4.6,-0.2,"$1,911,600 ",0,0,0,0
12,Damion Lee,27,2,9,21.9,3.2,8.3,38.5,1.1,3.2,34.3,2.5,3.0,84.8,0.8,3.1,3.9,1.8,1.2,1.6,18.4,1,0,-1.8,3.1,18.4,0.7,20.5,0.0,0.0,9.4,6.9,7.1,21.5,0.049,18.8,18.5,20.1,23.5,22.6,21.2,21.7,14.8,17.5,18.9,17.1,18.5,21.2,28.1,19.6,61.5,38.5,41.8,10.9,32.7,21.8,19.1,30.9,60.9,39.1,91.7,8.3,71.4,28.6,1.9,1.3,2.2,3.1,9.4,6.9,7.1,21.5,0.5,3.3,241.0,-0.4,-0.6,-0.9,-1.1,0.5,-0.6,-0.5,-0.3,-0.8,0.2,0,0,1,0,0
13,Danuel House Jr.,26,9,5,29.7,3.9,8.3,47.4,2.6,5.8,44.4,1.9,2.4,79.4,1.1,3.4,4.6,1.1,0.9,2.0,24.6,0,0,4.9,3.4,15.0,1.3,23.4,0.7,18.9,13.9,7.4,9.7,31.0,0.099,13.3,15.4,14.7,27.7,21.0,13.0,12.6,15.4,15.1,7.5,8.8,9.3,14.7,14.4,16.5,30.2,69.8,22.0,1.2,62.4,19.1,15.6,20.8,84.2,15.8,100.0,0.0,94.5,5.5,1.9,1.7,2.4,2.6,13.9,7.4,9.7,31.0,0.3,2.1,416.0,1.3,3.4,4.7,1.9,0.8,2.8,1.4,3.1,4.5,1.6,"$3,540,000 ",0,1,0,0
