,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Unnamed: 0,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
11,Kostas Antetokounmpo,PF,22.0,LAL,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,https://www.basketball-reference.com/players/a/antetko01.html,3.9,0.0,0.0,0.0,0.0,36.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.0,-9.6,-0.9,-10.5,0.0,,,Lakers,3.0,-2.7,-14.1,-16.8,9.9,11.0,20.8,-0.5,-10.4,-10.8,-0.0
20,Marvin Bagley,PF,20.0,SAC,1.0,1.0,28.0,10.5,28.1,0.375,0.0,0.0,0.0,10.5,28.1,0.375,3.5,7.0,0.5,7.0,10.5,17.5,0.0,1.8,1.8,1.8,1.8,24.5,88.0,107.0,https://www.basketball-reference.com/players/b/baglema01.html,14.1,0.39399999999999996,0.0,0.25,16.0,25.2,20.5,0.0,1.8,3.3,5.3,29.2,0.0,-0.1,0.0,0.0,-0.038,0.0,-10.3,-6.8,-17.2,-0.1,128.0,"$8,556,120",,,,,,,,,,,,
21,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Error on row 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
39,Dāvis Bertāns,PF,27.0,WAS,16.0,0.0,441.0,7.3,16.0,0.455,5.6,12.7,0.44299999999999995,1.7,3.3,0.5,1.9,2.2,0.857,1.3,6.4,7.6,3.0,0.9,0.8,1.1,4.2,22.1,127.0,117.0,https://www.basketball-reference.com/players/b/bertada01.html,15.8,0.649,0.792,0.136,2.9,15.4,9.0,8.3,0.9,1.5,6.3,16.2,0.0,1.1,0.0,1.1,0.121,0.0,4.1,-2.1,2.0,0.4,385.0,"$7,000,000",,,,,,,,,,,,
46,Bogdan Bogdanović,SG,27.0,SAC,16.0,0.0,445.0,9.4,22.5,0.41700000000000004,5.1,12.9,0.39299999999999996,4.3,9.6,0.44799999999999995,3.2,4.4,0.725,0.2,4.5,4.7,8.5,2.8,0.2,3.2,3.3,27.0,111.0,110.0,https://www.basketball-reference.com/players/b/bogdabo01.html,18.0,0.5529999999999999,0.574,0.196,0.5,10.8,5.5,28.3,2.8,0.4,11.6,24.5,0.0,0.7,0.4,1.1,0.11800000000000001,0.0,3.4,-1.5,1.9,0.4,129.0,"$8,529,386",,,,,,,,,,,,
47,Bojan Bogdanović,SF,30.0,UTA,17.0,17.0,565.0,10.6,22.1,0.479,4.7,10.0,0.466,5.9,12.1,0.49,5.1,5.7,0.882,0.9,5.1,6.0,3.1,1.1,0.3,4.0,2.9,30.9,111.0,107.0,https://www.basketball-reference.com/players/b/bogdabo02.html,17.9,0.627,0.452,0.261,2.2,10.9,6.8,11.6,1.1,0.6,13.9,26.0,0.0,0.9,0.7,1.6,0.138,0.0,2.5,-0.8,1.8,0.5,63.0,"$17,000,000",,,,,,,,,,,,
49,Jordan Bone,PG,22.0,DET,3.0,0.0,6.0,16.1,40.3,0.4,0.0,8.1,0.0,16.1,32.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,32.3,52.0,118.0,https://www.basketball-reference.com/players/b/bonejo01.html,-16.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,50.7,0.0,-0.1,0.0,-0.1,-0.644,0.0,-23.8,-11.0,-34.8,0.0,,,Pistons,6.0,-30.5,-11.2,-41.7,-20.2,6.2,-14.0,-30.2,-8.5,-38.7,-0.1
53,Brian Bowen,SG,21.0,IND,3.0,0.0,10.0,4.8,19.3,0.25,0.0,4.8,0.0,4.8,14.5,0.33299999999999996,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,4.8,0.0,0.0,9.7,55.0,104.0,https://www.basketball-reference.com/players/b/bowenbr02.html,1.2,0.25,0.25,0.0,0.0,10.8,5.4,0.0,0.0,8.8,0.0,17.1,0.0,0.0,0.0,0.0,-0.114,0.0,-12.0,0.4,-11.6,0.0,,,,,,,,,,,,,,
54,Ky Bowman,PG,22.0,GSW,19.0,6.0,421.0,7.5,16.0,0.47200000000000003,2.3,5.3,0.426,5.3,10.7,0.495,1.6,1.7,0.9329999999999999,0.9,3.9,4.8,5.5,2.1,0.2,2.1,4.1,18.9,111.0,115.0,https://www.basketball-reference.com/players/b/bowmaky01.html,13.4,0.565,0.331,0.106,2.0,9.0,5.5,17.9,2.1,0.4,11.3,16.7,0.0,0.5,0.1,0.6,0.063,0.0,-0.3,-2.2,-2.4,0.0,,,Warriors,421.0,-1.4,-1.8,-3.3,1.3,3.5,4.8,-1.0,-0.8,-1.8,0.2
58,Jarrell Brantley,PF,23.0,UTA,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,28.7,9.6,0.0,9.6,0.0,0.0,0.0,232.0,84.0,https://www.basketball-reference.com/players/b/brantja01.html,21.6,0.0,0.0,0.0,0.0,61.7,32.5,25.5,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.0,-6.9,15.9,8.9,0.0,,,Jazz,5.0,5.0,0.4,5.4,28.1,18.0,46.1,9.6,3.5,13.1,0.0
