,Player,salary
0,LeBron James,"$37,436,858"
1,Anthony Davis,"$27,093,019"
2,Danny Green,"$14,634,146"
3,Kentavious Caldwell-Pope,"$8,089,282"
4,Luol Deng,"$4,990,000"
5,Avery Bradley,"$4,767,000"
6,JaVale McGee,"$4,000,000"
7,DeMarcus Cousins,"$3,500,000"
8,Quinn Cook,"$3,000,000"
9,Alex Caruso,"$2,750,000"
10,Jared Dudley,"$2,564,753"
11,Rajon Rondo,"$2,564,753"
12,Dwight Howard,"$2,564,753"
13,Troy Daniels,"$2,028,594"
14,Kyle Kuzma,"$1,974,600"
15,Talen Horton-Tucker,"$898,310"
16,Paul George,"$33,005,556"
17,Kawhi Leonard,"$32,742,000"
18,Patrick Beverley,"$12,345,679"
19,Maurice Harkless,"$11,511,234"
20,Lou Williams,"$8,000,000"
21,Ivica Zubac,"$6,481,482"
22,Montrezl Harrell,"$6,000,000"
23,JaMychal Green,"$4,767,000"
24,Rodney McGruder,"$4,629,630"
25,Jerome Robinson,"$3,567,720"
26,Patrick Patterson,"$2,331,593"
27,Landry Shamet,"$1,995,120"
28,Mfiondu Kabengele,"$1,977,000"
29,Derrick Walton,"$1,445,697"
30,Terance Mann,"$1,000,000"
31,Paul Millsap,"$30,500,000"
32,Nikola Jokić,"$26,573,595"
33,Gary Harris,"$17,839,286"
34,Mason Plumlee,"$14,041,096"
35,Will Barton,"$12,960,000"
36,Jerami Grant,"$9,346,153"
37,Jamal Murray,"$4,444,746"
38,Michael Porter,"$3,389,400"
39,Juan Hernangómez,"$3,321,030"
40,Malik Beasley,"$2,731,714"
41,Torrey Craig,"$2,100,000"
42,Monte Morris,"$1,588,231"
43,Vlatko Čančar,"$1,517,981"
44,Jarred Vanderbilt,"$1,416,852"
45,Kristaps Porziņģis,"$27,285,000"
46,Tim Hardaway,"$18,150,000"
47,Courtney Lee,"$12,759,670"
48,Dwight Powell,"$10,259,375"
49,Delon Wright,"$9,473,684"
50,Maxi Kleber,"$8,000,000"
51,Luka Dončić,"$7,683,360"
52,Seth Curry,"$7,441,860"
53,Dorian Finney-Smith,"$4,000,000"
54,Boban Marjanović,"$3,500,000"
55,Justin Jackson,"$3,280,920"
56,J.J. Barea,"$2,564,753"
57,Isaiah Roby,"$1,500,000"
58,Ryan Broekhoff,"$1,443,842"
59,Jalen Brunson,"$1,416,582"
60,Russell Westbrook,"$38,178,000"
61,James Harden,"$37,800,000"
62,Clint Capela,"$16,456,522"
63,Eric Gordon,"$14,057,730"
64,P.J. Tucker,"$8,349,039"
65,Danuel House,"$3,540,000"
66,Tyson Chandler,"$2,564,753"
67,Gerald Green,"$2,564,753"
68,Nenê Hilário,"$2,564,753"
69,Thabo Sefolosha,"$2,564,753"
70,Austin Rivers,"$2,174,318"
71,Ben McLemore,"$1,882,867"
72,Isaiah Hartenstein,"$1,416,852"
73,Gary Clark,"$1,416,852"
74,Ryan Anderson,"$500,000"
75,Troy Williams,"$122,741"
76,Mike Conley,"$32,511,623"
77,Rudy Gobert,"$25,008,427"
78,Bojan Bogdanović,"$17,000,000"
79,Joe Ingles,"$11,954,546"
80,Dante Exum,"$9,600,000"
81,Ed Davis,"$4,767,000"
82,Donovan Mitchell,"$3,635,760"
83,Jeff Green,"$2,564,753"
84,Tony Bradley,"$1,962,360"
85,Emmanuel Mudiay,"$1,737,145"
86,Georges Niang,"$1,645,357"
87,Royce O'Neale,"$1,618,520"
88,Nigel Williams-Goss,"$1,500,000"
89,Miye Oni,"$898,310"
90,Stanton Kidd,"$250,000"
91,William Howard,"$50,000"
92,Andrew Wiggins,"$27,270,000"
93,Karl-Anthony Towns,"$27,250,000"
94,Jeff Teague,"$19,000,000"
95,Gorgui Dieng,"$16,229,213"
96,Robert Covington,"$11,301,219"
97,Jarrett Culver,"$5,813,640"
98,Jake Layman,"$3,581,986"
99,Josh Okogie,"$2,530,680"
100,Noah Vonleh,"$2,000,000"
101,Shabazz Napier,"$1,882,867"
102,Treveon Graham,"$1,678,854"
103,Jordan Bell,"$1,620,564"
104,Keita Bates-Diop,"$1,416,852"
105,Jaylen Nowell,"$1,400,000"
106,Naz Reid,"$898,310"
107,Cole Aldrich,"$685,340"
108,Devin Booker,"$27,250,000"
109,Tyler Johnson,"$19,245,370"
110,Ricky Rubio,"$16,190,476"
111,Kelly Oubre,"$15,625,000"
112,Deandre Ayton,"$9,562,920"
113,Aron Baynes,"$5,453,280"
114,Frank Kaminsky,"$4,767,000"
115,Mikal Bridges,"$4,161,000"
116,Cameron Johnson,"$4,033,440"
117,Dario Šarić,"$3,481,986"
118,Kyle Korver,"$3,440,000"
119,Ty Jerome,"$2,193,480"
120,Cheick Diallo,"$1,678,854"
121,Elie Okobo,"$1,416,852"
122,Jevon Carter,"$1,416,852"
123,Jalen Lecque,"$898,310"
124,Damian Lillard,"$29,802,321"
125,CJ McCollum,"$27,556,959"
126,Hassan Whiteside,"$27,093,018"
127,Kent Bazemore,"$19,269,662"
128,Jusuf Nurkić,"$12,000,000"
129,Rodney Hood,"$5,718,000"
130,Zach Collins,"$4,240,200"
131,Andrew Nicholson,"$2,844,429"
132,Anthony Tolliver,"$2,564,753"
133,Pau Gasol,"$2,564,753"
134,Skal Labissière,"$2,338,847"
135,Carmelo Anthony,"$2,159,029"
136,Anfernee Simons,"$2,149,560"
137,Nassir Little,"$2,105,520"
138,Anderson Varejão,"$1,913,345"
139,Mario Hezonja,"$1,737,145"
140,Gary Trent,"$1,416,852"
141,Festus Ezeli,"$333,333"
142,Chris Paul,"$38,506,482"
143,Steven Adams,"$25,842,697"
144,Danilo Gallinari,"$22,615,559"
145,Dennis Schröder,"$15,500,000"
146,Andre Roberson,"$10,740,741"
147,Shai Gilgeous-Alexander,"$3,952,920"
148,Terrance Ferguson,"$2,475,840"
149,Darius Bazley,"$2,284,800"
150,Nerlens Noel,"$2,028,594"
151,Mike Muscala,"$2,028,594"
152,Justin Patton,"$1,620,564"
153,Abdel Nader,"$1,618,520"
154,Hamidou Diallo,"$1,416,852"
155,Deonte Burton,"$1,416,852"
156,Kyle Singler,"$999,200"
157,Patrick Patterson,"$737,067"
158,Harrison Barnes,"$24,147,727"
159,Dewayne Dedmon,"$13,333,334"
160,Trevor Ariza,"$12,200,000"
161,Cory Joseph,"$12,000,000"
162,Marvin Bagley,"$8,556,120"
163,Bogdan Bogdanović,"$8,529,386"
164,Nemanja Bjelica,"$6,825,000"
165,De'Aaron Fox,"$6,392,760"
166,Buddy Hield,"$4,861,208"
167,Richaun Holmes,"$4,767,000"
168,Yogi Ferrell,"$3,150,000"
169,Harry Giles,"$2,578,800"
170,Matt Barnes,"$2,133,541"
171,Caleb Swanigan,"$2,033,160"
172,Justin James,"$898,310"
173,Wenyen Gabriel,"$898,310"
174,Tyler Lydon,"$50,000"
175,Tyler Ulis,"$50,000"
176,Hollis Thompson,"$50,000"
177,DeMar DeRozan,"$27,739,975"
178,LaMarcus Aldridge,"$26,000,000"
179,Rudy Gay,"$14,000,000"
180,Patty Mills,"$12,428,571"
181,DeMarre Carroll,"$7,000,000"
182,Marco Belinelli,"$5,846,154"
183,Trey Lyles,"$5,500,000"
184,Pau Gasol,"$5,100,000"
185,Jakob Pöltl,"$3,754,886"
186,Bryn Forbes,"$2,875,000"
187,Lonnie Walker,"$2,760,480"
188,Luka Šamanić,"$2,689,920"
189,Dejounte Murray,"$2,321,735"
190,Keldon Johnson,"$1,950,600"
191,Derrick White,"$1,948,080"
192,Chimezie Metu,"$1,416,852"
193,Jrue Holiday,"$26,131,111"
194,Derrick Favors,"$17,650,000"
195,J.J. Redick,"$13,486,300"
196,Zion Williamson,"$9,757,440"
197,Lonzo Ball,"$8,719,320"
198,E'Twaun Moore,"$8,664,928"
199,Brandon Ingram,"$7,265,485"
200,Darius Miller,"$7,250,000"
201,Jaxson Hayes,"$4,862,040"
202,Nicolò Melli,"$3,902,439"
203,Nickeil Alexander-Walker,"$2,964,840"
204,Josh Hart,"$1,934,160"
205,Jahlil Okafor,"$1,702,486"
206,Frank Jackson,"$1,618,520"
207,Kenrich Williams,"$1,416,852"
208,Andre Iguodala,"$17,185,185"
209,Jonas Valančiūnas,"$16,000,000"
210,Solomon Hill,"$13,258,781"
211,Miles Plumlee,"$12,500,000"
212,Kyle Anderson,"$9,073,050"
213,Ja Morant,"$8,730,240"
214,Tyus Jones,"$8,408,000"
215,Jae Crowder,"$7,815,533"
216,Josh Jackson,"$7,059,480"
217,Jaren Jackson,"$6,927,480"
218,Dwight Howard,"$3,039,097"
219,Marko Guduric,"$2,625,000"
