,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
0,Steven Adams,C,26,OKC,14,14,368,7.3,13.1,.560,0.0,0.0,,7.3,13.1,.560,1.8,4.6,.400,5.0,11.0,16.0,5.4,0.8,1.4,2.8,3.3,16.5,,113,107,https://www.basketball-reference.com/players/a/adamsst01.html
1,Bam Adebayo,C,22,MIA,17,17,551,7.7,12.8,.601,0.1,0.5,.167,7.6,12.2,.620,5.8,8.9,.650,3.3,11.9,15.2,6.6,2.3,1.8,4.1,3.6,21.2,,118,99,https://www.basketball-reference.com/players/a/adebaba01.html
2,LaMarcus Aldridge,C,34,SAS,19,19,625,11.2,21.5,.523,0.8,2.3,.367,10.4,19.2,.542,4.0,4.9,.828,3.0,6.5,9.6,3.3,0.9,2.4,2.5,3.1,27.4,,115,113,https://www.basketball-reference.com/players/a/aldrila01.html
3,Nickeil Alexander-Walker,SG,21,NOP,16,0,230,7.2,22.3,.321,4.2,12.2,.344,3.0,10.2,.294,2.0,2.8,.714,0.4,6.8,7.2,7.2,1.0,0.4,4.0,5.2,20.5,,90,116,https://www.basketball-reference.com/players/a/alexani01.html
4,Grayson Allen,SG,24,MEM,7,0,115,5.6,18.5,.304,2.0,8.8,.227,3.6,9.6,.375,4.0,4.8,.833,0.4,6.4,6.8,5.2,0.8,0.0,3.6,4.8,17.3,,84,116,https://www.basketball-reference.com/players/a/allengr01.html
5,Jarrett Allen,C,21,BRK,18,15,479,8.0,11.7,.683,0.0,0.1,.000,8.0,11.6,.689,4.8,8.2,.583,5.9,12.1,18.1,1.9,1.2,2.3,2.0,4.2,20.7,,133,105,https://www.basketball-reference.com/players/a/allenja01.html
6,Al-Farouq Aminu,PF,29,ORL,17,2,362,3.1,10.7,.291,1.1,4.5,.242,2.0,6.2,.326,2.6,3.9,.655,3.1,8.4,11.5,2.7,2.2,1.1,2.0,3.7,9.9,,89,104,https://www.basketball-reference.com/players/a/aminual01.html
7,Kyle Anderson,PF,26,MEM,16,0,334,6.5,12.6,.516,0.6,2.2,.250,5.9,10.4,.573,2.2,3.9,.571,2.1,8.0,10.1,5.8,1.7,1.7,2.1,4.0,15.7,,113,111,https://www.basketball-reference.com/players/a/anderky01.html
8,Ryan Anderson,PF,31,HOU,2,0,14,6.5,22.8,.286,3.3,16.3,.200,3.3,6.5,.500,0.0,0.0,,0.0,22.8,22.8,6.5,3.3,0.0,3.3,3.3,16.3,,78,97,https://www.basketball-reference.com/players/a/anderry01.html
9,Giannis Antetokounmpo,PF,25,MIL,18,18,595,15.6,27.8,.560,1.9,6.5,.294,13.7,21.4,.641,9.4,16.0,.588,3.6,15.1,18.7,8.5,2.1,2.0,5.9,4.9,42.5,,116,97,https://www.basketball-reference.com/players/a/antetgi01.html
10,Kostas Antetokounmpo,PF,22,LAL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,104,https://www.basketball-reference.com/players/a/antetko01.html
11,Thanasis Antetokounmpo,SF,27,MIL,3,0,13,7.0,13.9,.500,0.0,0.0,,7.0,13.9,.500,0.0,0.0,,7.0,0.0,7.0,3.5,0.0,0.0,3.5,7.0,13.9,,105,113,https://www.basketball-reference.com/players/a/antetth01.html
12,Carmelo Anthony,PF,35,POR,5,5,146,10.9,24.0,.453,2.9,7.7,.375,8.0,16.3,.490,1.9,2.6,.750,1.3,6.7,8.0,2.9,1.0,0.3,4.2,5.8,26.5,,96,113,https://www.basketball-reference.com/players/a/anthoca01.html
13,OG Anunoby,SF,22,TOR,16,16,476,7.5,13.9,.540,3.1,6.2,.500,4.4,7.7,.571,0.9,1.6,.563,1.6,7.3,8.9,2.4,1.6,1.5,1.9,3.6,19.0,,118,103,https://www.basketball-reference.com/players/a/anunoog01.html
14,Ryan Arcidiacono,PG,25,CHI,19,0,325,4.0,10.1,.400,2.6,6.1,.429,1.4,4.0,.357,2.0,2.7,.737,1.4,3.5,4.9,5.0,1.6,0.1,1.4,5.5,12.7,,118,111,https://www.basketball-reference.com/players/a/arcidry01.html
15,Trevor Ariza,SF,34,SAC,11,0,227,3.2,9.1,.357,2.6,6.9,.375,0.6,2.2,.300,0.9,1.1,.800,0.9,7.4,8.2,1.9,1.9,0.0,1.5,4.1,9.9,,101,111,https://www.basketball-reference.com/players/a/arizatr01.html
16,D.J. Augustin,PG,32,ORL,17,5,433,6.4,16.3,.389,1.8,5.9,.308,4.5,10.4,.435,3.6,4.2,.865,0.8,3.2,4.0,9.2,1.1,0.0,2.4,2.0,18.2,,108,111,https://www.basketball-reference.com/players/a/augusdj01.html
17,Deandre Ayton,C,21,PHO,1,1,33,12.7,19.8,.643,0.0,0.0,,12.7,19.8,.643,0.0,0.0,,4.2,11.3,15.6,0.0,1.4,5.7,0.0,2.8,25.5,,129,100,https://www.basketball-reference.com/players/a/aytonde01.html
18,Dwayne Bacon,SG,24,CHO,14,10,298,6.8,20.6,.331,1.5,5.7,.257,5.3,14.9,.359,2.9,4.2,.692,1.1,4.9,6.0,3.1,1.9,0.3,2.9,4.2,18.0,,81,114,https://www.basketball-reference.com/players/b/bacondw01.html
19,Marvin Bagley,PF,20,SAC,1,1,28,10.5,28.1,.375,0.0,0.0,,10.5,28.1,.375,3.5,7.0,.500,7.0,10.5,17.5,0.0,1.8,1.8,1.8,1.8,24.5,,88,107,https://www.basketball-reference.com/players/b/baglema01.html
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 20
21,Lonzo Ball,PG,22,NOP,11,8,298,7.1,18.3,.387,3.7,10.8,.343,3.4,7.5,.449,0.9,1.5,.600,1.5,5.4,6.9,9.7,2.2,0.3,4.0,3.1,18.8,,103,114,https://www.basketball-reference.com/players/b/balllo01.html
22,Mo Bamba,C,21,ORL,15,0,226,6.7,17.2,.392,2.4,6.3,.379,4.4,10.9,.400,0.4,1.3,.333,4.1,11.7,15.9,2.0,1.1,4.4,4.1,7.2,16.3,,85,100,https://www.basketball-reference.com/players/b/bambamo01.html
23,J.J. Barea,PG,35,DAL,3,0,44,14.1,27.2,.520,7.6,10.9,.700,6.5,16.3,.400,2.2,2.2,1.000,1.1,3.3,4.4,6.5,2.2,1.1,4.4,1.1,38.1,,121,110,https://www.basketball-reference.com/players/b/bareajo01.html
24,Harrison Barnes,PF,27,SAC,17,17,586,7.8,15.7,.497,2.3,5.7,.397,5.5,10.0,.555,4.9,6.2,.784,1.5,5.6,7.1,3.0,1.3,0.3,1.8,1.9,22.7,,122,113,https://www.basketball-reference.com/players/b/barneha02.html
25,RJ Barrett,SG,19,NYK,17,17,565,8.4,20.8,.404,1.6,4.9,.333,6.8,15.9,.426,3.9,7.7,.506,1.9,6.3,8.2,5.3,2.2,0.6,4.1,3.7,22.4,,93,112,https://www.basketball-reference.com/players/b/barrerj01.html
26,Will Barton,SF,29,DEN,14,14,451,8.8,19.1,.460,3.0,6.7,.452,5.7,12.3,.465,2.9,3.9,.750,2.9,7.7,10.6,5.1,1.4,0.8,1.9,3.1,23.5,,117,103,https://www.basketball-reference.com/players/b/bartowi01.html
27,Keita Bates-Diop,SF,24,MIN,7,0,125,8.5,15.1,.561,4.0,8.8,.458,4.4,6.2,.706,1.8,2.9,.625,1.8,5.1,7.0,0.7,1.1,1.5,1.1,2.9,22.8,,130,110,https://www.basketball-reference.com/players/b/bateske01.html
28,Nicolas Batum,SF,31,CHO,8,0,185,2.9,7.0,.407,1.8,5.5,.333,1.0,1.6,.667,1.3,1.3,1.000,1.8,8.1,9.9,8.1,1.3,1.3,3.4,4.2,8.9,,111,112,https://www.basketball-reference.com/players/b/batumni01.html
29,Aron Baynes,C,33,PHO,12,11,288,10.4,18.5,.561,3.7,8.4,.442,6.6,10.1,.661,3.7,5.2,.719,2.9,7.9,10.9,6.0,0.6,1.5,2.1,7.6,28.2,,131,109,https://www.basketball-reference.com/players/b/baynear01.html
30,Kent Bazemore,SF,30,POR,19,2,433,5.1,15.2,.333,2.4,7.2,.328,2.7,8.0,.338,2.8,3.7,.765,0.9,8.2,9.1,4.0,1.7,1.5,3.0,6.3,15.3,,91,109,https://www.basketball-reference.com/players/b/bazemke01.html
31,Darius Bazley,PF,19,OKC,17,0,295,4.7,10.9,.433,2.1,5.7,.371,2.6,5.2,.500,1.3,2.3,.571,1.1,9.3,10.5,1.5,1.0,1.1,2.3,2.6,12.9,,96,108,https://www.basketball-reference.com/players/b/bazleda01.html
32,Bradley Beal,SG,26,WAS,16,16,592,12.8,26.9,.476,3.6,10.3,.353,9.2,16.6,.551,6.7,8.1,.819,1.2,4.3,5.4,8.7,1.2,0.3,4.0,3.2,35.9,,116,118,https://www.basketball-reference.com/players/b/bealbr01.html
33,Malik Beasley,SG,23,DEN,12,0,183,7.2,18.7,.386,4.0,9.3,.429,3.2,9.3,.343,1.3,1.3,1.000,1.1,4.0,5.1,3.2,1.9,0.5,4.0,4.3,19.8,,91,104,https://www.basketball-reference.com/players/b/beaslma01.html
34,Marco Belinelli,SG,33,SAS,18,0,293,5.2,18.0,.288,2.6,8.8,.296,2.6,9.2,.281,1.6,2.6,.625,0.2,4.1,4.2,4.5,0.8,0.0,1.5,2.3,14.6,,85,118,https://www.basketball-reference.com/players/b/belinma01.html
35,Jordan Bell,C,25,MIN,9,0,74,6.8,11.8,.579,0.0,1.9,.000,6.8,9.9,.688,4.3,6.8,.636,5.6,14.3,19.9,3.7,0.0,1.9,7.5,3.7,18.0,,95,106,https://www.basketball-reference.com/players/b/belljo01.html
36,DeAndre' Bembry,SG,25,ATL,18,2,454,6.0,10.9,.547,0.8,2.2,.381,5.1,8.7,.588,1.4,3.3,.438,1.7,5.9,7.6,5.5,2.9,0.7,3.1,4.1,14.2,,106,112,https://www.basketball-reference.com/players/b/bembrde01.html
37,Dragan Bender,SF,22,MIL,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,22.6,0.0,22.6,22.6,22.6,0.0,,47,80,https://www.basketball-reference.com/players/b/bendedr01.html
38,Dāvis Bertāns,PF,27,WAS,16,0,441,7.3,16.0,.455,5.6,12.7,.443,1.7,3.3,.500,1.9,2.2,.857,1.3,6.4,7.6,3.0,0.9,0.8,1.1,4.2,22.1,,127,117,https://www.basketball-reference.com/players/b/bertada01.html
39,Patrick Beverley,PG,31,LAC,17,17,507,4.3,11.8,.367,1.8,6.8,.270,2.5,5.0,.500,1.0,1.8,.579,2.0,8.0,10.1,5.4,2.3,1.1,2.5,6.2,11.6,,99,102,https://www.basketball-reference.com/players/b/beverpa01.html
40,Khem Birch,C,27,ORL,8,3,145,4.4,8.5,.520,0.0,0.3,.000,4.4,8.1,.542,2.7,5.8,.471,3.7,6.1,9.8,0.7,0.7,0.3,1.0,5.8,11.5,,111,110,https://www.basketball-reference.com/players/b/birchkh01.html
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 41
42,Goga Bitadze,C,20,IND,12,2,189,6.7,13.6,.491,1.0,2.8,.364,5.6,10.7,.524,3.6,4.9,.737,4.1,7.7,11.8,3.6,0.3,4.6,2.3,7.2,17.9,,116,102,https://www.basketball-reference.com/players/b/bitadgo01.html
43,Bismack Biyombo,C,27,CHO,17,2,264,9.5,15.0,.634,0.0,0.0,,9.5,15.0,.634,5.9,10.4,.561,4.4,7.5,11.9,2.2,1.1,2.2,1.6,6.2,24.9,,127,112,https://www.basketball-reference.com/players/b/biyombi01.html
44,Nemanja Bjelica,PF,31,SAC,17,16,443,7.4,15.5,.479,3.2,7.9,.408,4.2,7.6,.551,1.0,1.1,.900,3.2,8.8,12.0,4.4,1.8,0.8,2.8,5.4,19.1,,115,109,https://www.basketball-reference.com/players/b/bjeline01.html
