Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
James Harden,49.35,4.24,14.72,27.19,2.62,1.83,0.05,0.369,0.42,0.448,0.588,0.42,0.257,0
Paul George,39.47,19.39,10.53,23.17,4.03,2.91,0.5,0.38,0.415,0.371,0.594,0.446,0.404,0.25
Giannis Antetokounmpo,15.32,9.3,12.91,61.67,0.24,0.48,0.08,0.262,0.345,0.385,0.737,0,0.333,0
Joel Embiid,20.93,19.18,19.18,39.7,0.25,0.58,0.17,0.299,0.361,0.396,0.687,0,0.571,0
LeBron James,27.53,15.63,11.26,43.16,1.02,1.4,0,0.341,0.423,0.306,0.709,0.455,0.267,0
Stephen Curry,49.7,14.63,7.46,17.46,4.18,5.75,0.82,0.429,0.434,0.46,0.628,0.464,0.532,0.091
Kawhi Leonard,22.05,29.32,16.56,27.37,2.39,2.3,0,0.365,0.459,0.465,0.676,0.333,0.462,0
Devin Booker,30.12,23.27,17.93,25.82,1.12,1.27,0.48,0.325,0.449,0.52,0.627,0.357,0.375,0.167
Kevin Durant,25.81,33.33,18.08,20.54,1.3,0.94,0,0.364,0.551,0.492,0.729,0.222,0.231,0
Anthony Davis,12.96,22.81,21.25,41.81,0.49,0.58,0.1,0.316,0.355,0.422,0.716,0.2,0.833,0
Damian Lillard,39.66,18.53,8.15,31.38,1.17,0.91,0.2,0.373,0.461,0.384,0.551,0.278,0.357,0
Kemba Walker,40.38,16.09,12.59,27.91,1.31,1.13,0.59,0.357,0.469,0.401,0.551,0.545,0.211,0.1
Bradley Beal,31.45,21.45,10.38,31.07,2.39,3.21,0.06,0.338,0.428,0.424,0.67,0.421,0.431,0
Blake Griffin,31.4,8.02,18.41,34.53,1.99,5.42,0.23,0.35,0.267,0.361,0.677,0.346,0.465,0
Karl-Anthony Towns,23.44,14.49,24.9,33.85,1.16,2.08,0.08,0.398,0.399,0.48,0.697,0.467,0.407,0
Kyrie Irving,30.22,22.72,15.95,26.43,2.1,2.5,0.08,0.403,0.496,0.434,0.622,0.385,0.419,0
Donovan Mitchell,29.08,13.66,25.56,26.8,2.22,2.35,0.33,0.36,0.402,0.376,0.59,0.382,0.389,0.2
Zach LaVine,24.49,17.97,10.22,43.52,1.23,2.38,0.18,0.36,0.358,0.276,0.617,0.429,0.519,0
Russell Westbrook,24.37,24.1,10.52,37.54,1.09,2.38,0,0.279,0.318,0.316,0.631,0.438,0.343,0
Klay Thompson,33.1,31.95,9.99,15.34,4.64,4.99,0,0.388,0.453,0.429,0.702,0.523,0.386,0
Julius Randle,14.59,6.69,23.79,51.77,1.21,1.95,0,0.344,0.319,0.414,0.662,0.308,0.381,0
LaMarcus Aldridge,2.88,43.37,22.29,31.16,0.15,0.15,0,0.237,0.449,0.452,0.691,0,0.5,0
DeMar DeRozan,1.68,42.12,30.16,24.3,0.69,0.99,0.08,0.045,0.405,0.449,0.696,0.222,0.308,0
Jrue Holiday,27.44,12.68,19.24,37.01,1.55,1.98,0.09,0.314,0.388,0.453,0.636,0.278,0.478,0
D'Angelo Russell,38.37,20.04,22.21,15.89,1.25,2.18,0.07,0.359,0.434,0.478,0.548,0.632,0.394,0
Mike Conley,32.95,17.59,22.14,22.23,2.68,2.23,0.18,0.352,0.442,0.448,0.55,0.467,0.44,0
Luka Doncic,39.16,11.14,20.31,25.28,1.11,1.71,1.29,0.328,0.369,0.422,0.614,0.538,0.5,0.067
CJ McCollum,32.34,25.66,17.3,21.24,1.61,1.77,0.08,0.363,0.502,0.46,0.549,0.45,0.545,0
Nikola Vucevic,16.77,21.34,29.76,31.83,0.15,0.07,0.07,0.366,0.436,0.484,0.687,0.5,0,0
John Wall,27.36,20.47,8.15,40.76,1.99,1.27,0,0.291,0.389,0.356,0.596,0.455,0.286,0
