,Player18,Pos18,Age18,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18, 18, .118,Player
0,Álex Abrines,SG,25.0,OKC,31.0,2.0,588.0,4.4,12.5,0.35700000000000004,3.3,10.1,0.32299999999999995,1.2,2.4,0.5,1.0,1.0,0.9229999999999999,0.4,3.4,3.8,1.6,1.3,0.5,1.1,4.2,13.1,103.0,111.0,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,31.0,0.65,0.65,0.35,0.65,1.03,1.45,1.35,1.48,1.051,0.5,0.33299999999999996,0.5710000000000001,0.32799999999999996,0.0,12.74,1.91,4.46,79.62,1.27,21.8,20.02,22.78,91.07,89.17,10.19,0.64,0.0,0.336,0.5,1.0,18.18,74.55,7.27,62.42,6.37,1.27,11.46,7.64,9.55,1.27,0.316,0.5,0.0,0.556,0.41700000000000004,0.33299999999999996,0.0,,,Álex Abrines
1,Ángel Delgado,C,24.0,LAC,2.0,0.0,15.0,3.1,15.7,0.2,0.0,0.0,0.0,3.1,15.7,0.2,3.1,6.3,0.5,6.3,6.3,12.6,0.0,3.1,0.0,0.0,6.3,9.4,78.0,109.0,4.3,0.255,0.0,0.4,14.6,13.7,14.1,0.0,3.1,0.0,0.0,16.5,0.0,0.0,0.0,-0.055,-8.7,-4.0,-12.7,0.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.6,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.4,1.0,1.5,100.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,66.67,0.0,33.33,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,,Ángel Delgado
2,Ante Zizic,C,22.0,CLE,59.0,25.0,1082.0,8.4,15.2,0.5529999999999999,0.0,0.0,0.0,8.4,15.2,0.5529999999999999,4.3,6.1,0.705,5.0,9.7,14.7,2.4,0.6,1.0,2.8,5.2,21.1,116.0,117.0,16.2,0.59,0.0,0.39899999999999997,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.7,-1.4,-3.1,-0.3,59.0,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.3869999999999998,0.586,0.449,0.28600000000000003,0.0,0.0,80.97,14.8,4.23,0.0,0.0,3.97,3.02,5.14,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0.0,20.26,0.0,10.27,27.49,62.24,0.0,0.0,0.0,0.0,0.41200000000000003,0.374,0.655,0.0,0.0,0.0,,,Ante Zizic
3,B.J. Johnson,SF,23.0,TOT,7.0,0.0,49.0,8.5,17.0,0.5,2.8,6.6,0.429,5.7,10.4,0.545,1.9,1.9,1.0,1.9,5.7,7.6,0.0,1.9,0.0,1.9,3.8,21.7,111.0,115.0,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.1,0.066,-3.1,-5.4,-8.5,-0.1,7.0,1.29,0.86,0.86,0.0,1.29,0.43,0.71,0.86,1.278,0.4,0.75,0.5,0.5,0.0,27.78,22.22,11.11,33.33,5.56,16.11,13.89,18.33,66.67,72.22,22.22,5.56,0.0,0.5379999999999999,0.25,1.0,52.17,39.13,8.7,16.67,27.78,11.11,22.22,0.0,16.67,5.56,0.33299999999999996,0.6,1.0,0.25,0.0,0.667,0.0,,,B.J. Johnson
4,Boban Marjanovic,C,30.0,TOT,58.0,12.0,681.0,11.1,18.0,0.615,0.3,0.7,0.4,10.8,17.3,0.624,6.8,9.1,0.748,6.0,12.3,18.4,3.7,1.1,1.9,4.1,6.2,29.3,123.0,107.0,24.2,0.664,0.038,0.504,14.0,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3.0,0.212,1.4,0.5,1.9,0.7,56.0,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.6230000000000002,0.665,0.513,0.273,0.4,0.0,76.92,15.0,4.23,3.85,0.0,4.79,3.58,6.73,66.88,42.69,38.08,15.38,3.85,0.46799999999999997,0.677,0.9,73.93,2.84,23.22,2.31,9.62,24.23,62.31,1.54,0.0,0.0,0.16699999999999998,0.48,0.47600000000000003,0.7040000000000001,0.75,0.0,0.0,,,Boban Marjanovic
5,Bogdan Bogdanovic,SG,26.0,SAC,70.0,17.0,1947.0,8.6,20.6,0.418,3.2,8.9,0.36,5.4,11.7,0.462,3.2,3.9,0.8270000000000001,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,107.0,113.0,14.1,0.53,0.431,0.188,2.1,11.0,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,0.5,-1.2,-0.7,0.6,69.0,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.1440000000000001,0.5,0.445,0.392,0.36,0.0,30.01,15.01,11.96,42.67,0.35,15.66,13.91,16.92,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0.0,,,Bogdan Bogdanovic
6,Bojan Bogdanovic,SF,29.0,IND,81.0,81.0,2573.0,9.9,20.0,0.49700000000000005,3.1,7.3,0.425,6.8,12.6,0.5379999999999999,4.7,5.8,0.807,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,114.0,110.0,16.1,0.613,0.36700000000000005,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0.0,1.3,81.0,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385,0.594,0.419,0.47100000000000003,0.425,0.0,41.33,15.24,6.67,36.76,0.0,12.98,11.19,14.75,72.99,65.24,31.05,2.95,0.76,0.429,0.5920000000000001,1.0,49.24,33.84,16.92,25.52,15.14,14.48,33.62,4.67,6.57,0.0,0.38799999999999996,0.428,0.42100000000000004,0.64,0.449,0.551,0.0,,,Bojan Bogdanovic
7,C.J. Miles,SF,31.0,TOT,53.0,1.0,856.0,6.3,17.6,0.36,3.8,11.5,0.33,2.6,6.1,0.41700000000000004,2.7,3.3,0.828,0.7,4.6,5.4,2.0,1.5,0.9,1.7,4.5,19.2,99.0,110.0,9.0,0.504,0.653,0.18600000000000003,1.7,10.3,6.1,6.0,1.5,1.5,8.2,18.6,-0.2,0.9,0.7,0.040999999999999995,-2.1,-1.4,-3.4,-0.3,53.0,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09,0.441,0.308,0.478,0.332,0.0,18.97,8.36,7.4,64.95,0.32,19.14,17.98,19.79,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16,49.2,10.93,9.0,14.79,9.0,6.75,0.32,0.307,0.41200000000000003,0.35700000000000004,0.457,0.39299999999999996,0.429,0.0,,,C.J. Miles
8,Cristiano Felicio,C,26.0,CHI,60.0,0.0,746.0,6.2,11.6,0.531,0.0,0.3,0.0,6.2,11.4,0.5429999999999999,3.3,4.7,0.685,5.1,9.0,14.2,2.4,0.7,0.5,2.1,4.5,15.6,116.0,114.0,13.4,0.568,0.022000000000000002,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.08800000000000001,-2.5,-1.1,-3.5,-0.3,60.0,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341,0.564,0.455,0.25,0.0,0.0,87.15,6.15,4.47,2.23,0.0,3.38,1.94,5.01,69.47,27.37,50.28,13.41,8.94,0.36700000000000005,0.544,0.875,79.17,0.0,20.83,2.23,6.15,17.32,74.3,0.0,0.0,0.0,0.0,0.364,0.29,0.617,0.0,0.0,0.0,,,Cristiano Felicio
9,Dairis Bertans,SG,29.0,NOP,12.0,0.0,167.0,3.3,13.1,0.255,2.8,9.5,0.294,0.6,3.6,0.154,0.0,0.0,0.0,0.6,1.9,2.5,2.8,0.3,0.0,0.6,1.9,9.5,86.0,120.0,2.0,0.36200000000000004,0.723,0.0,1.3,4.3,2.8,7.2,0.3,0.0,4.1,12.0,-0.2,0.0,-0.2,-0.054000000000000006,-4.2,-3.5,-7.7,-0.2,12.0,0.25,0.0,0.0,0.0,0.0,1.25,0.25,1.33,0.723,0.0,0.0,0.16699999999999998,0.294,0.0,0.0,2.13,25.53,72.34,0.0,23.17,24.25,22.8,91.67,100.0,0.0,0.0,0.0,0.255,0.0,0.0,11.76,88.24,0.0,57.45,25.53,2.13,0.0,8.51,6.38,0.0,0.29600000000000004,0.16699999999999998,0.0,0.0,0.5,0.0,0.0,,,Dairis Bertans
