Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Álex Abrines,SG,25,OKC,31,2,588,4.4,12.5,0.357,3.3,10.1,0.323,1.2,2.4,0.5,1,1,0.923,0.4,3.4,3.8,1.6,1.3,0.5,1.1,4.2,13.1,103,111,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,31,0.65,0.65,0.35,0.65,1.03,1.45,1.35,1.48,1.051,0.5,0.333,0.571,0.328,0,12.74,1.91,4.46,79.62,1.27,21.8,20.02,22.78,91.07,89.17,10.19,0.64,0,0.336,0.5,1,18.18,74.55,7.27,62.42,6.37,1.27,11.46,7.64,9.55,1.27,0.316,0.5,0,0.556,0.417,0.333,0
Ángel Delgado,C,24,LAC,2,0,15,3.1,15.7,0.2,0,0,0,3.1,15.7,0.2,3.1,6.3,0.5,6.3,6.3,12.6,0,3.1,0,0,6.3,9.4,78,109,4.3,0.255,0,0.4,14.6,13.7,14.1,0,3.1,0,0,16.5,0,0,0,-0.055,-8.7,-4,-12.7,0,2,0,1,0,0.5,0,0,0,1.5,0.6,0.2,0,0,0,0,100,0,0,0,0,1.4,1,1.5,100,0,100,0,0,0,0.2,0,66.67,0,33.33,0,0,20,80,0,0,0,0,0,0,0.25,0,0,0
Ante Zizic,C,22,CLE,59,25,1082,8.4,15.2,0.553,0,0,0,8.4,15.2,0.553,4.3,6.1,0.705,5,9.7,14.7,2.4,0.6,1,2.8,5.2,21.1,116,117,16.2,0.59,0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2,0.087,-1.7,-1.4,-3.1,-0.3,59,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.387,0.586,0.449,0.286,0,0,80.97,14.8,4.23,0,0,3.97,3.02,5.14,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0,20.26,0,10.27,27.49,62.24,0,0,0,0,0.412,0.374,0.655,0,0,0
B.J. Johnson,SF,23,TOT,7,0,49,8.5,17,0.5,2.8,6.6,0.429,5.7,10.4,0.545,1.9,1.9,1,1.9,5.7,7.6,0,1.9,0,1.9,3.8,21.7,111,115,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0,1.9,0,9.6,17.4,0,0,0.1,0.066,-3.1,-5.4,-8.5,-0.1,7,1.29,0.86,0.86,0,1.29,0.43,0.71,0.86,1.278,0.4,0.75,0.5,0.5,0,27.78,22.22,11.11,33.33,5.56,16.11,13.89,18.33,66.67,72.22,22.22,5.56,0,0.538,0.25,1,52.17,39.13,8.7,16.67,27.78,11.11,22.22,0,16.67,5.56,0.333,0.6,1,0.25,0,0.667,0
Boban Marjanovic,C,30,TOT,58,12,681,11.1,18,0.615,0.3,0.7,0.4,10.8,17.3,0.624,6.8,9.1,0.748,6,12.3,18.4,3.7,1.1,1.9,4.1,6.2,29.3,123,107,24.2,0.664,0.038,0.504,14,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3,0.212,1.4,0.5,1.9,0.7,56,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.623,0.665,0.513,0.273,0.4,0,76.92,15,4.23,3.85,0,4.79,3.58,6.73,66.88,42.69,38.08,15.38,3.85,0.468,0.677,0.9,73.93,2.84,23.22,2.31,9.62,24.23,62.31,1.54,0,0,0.167,0.48,0.476,0.704,0.75,0,0
Bogdan Bogdanovic,SG,26,SAC,70,17,1947,8.6,20.6,0.418,3.2,8.9,0.36,5.4,11.7,0.462,3.2,3.9,0.827,1,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,107,113,14.1,0.53,0.431,0.188,2.1,11,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,0.5,-1.2,-0.7,0.6,69,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.144,0.5,0.445,0.392,0.36,0,30.01,15.01,11.96,42.67,0.35,15.66,13.91,16.92,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0
Bojan Bogdanovic,SF,29,IND,81,81,2573,9.9,20,0.497,3.1,7.3,0.425,6.8,12.6,0.538,4.7,5.8,0.807,0.6,5.7,6.3,3.1,1.3,0,2.5,2.6,27.6,114,110,16.1,0.613,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0,1.3,81,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385,0.594,0.419,0.471,0.425,0,41.33,15.24,6.67,36.76,0,12.98,11.19,14.75,72.99,65.24,31.05,2.95,0.76,0.429,0.592,1,49.24,33.84,16.92,25.52,15.14,14.48,33.62,4.67,6.57,0,0.388,0.428,0.421,0.64,0.449,0.551,0
C.J. Miles,SF,31,TOT,53,1,856,6.3,17.6,0.36,3.8,11.5,0.33,2.6,6.1,0.417,2.7,3.3,0.828,0.7,4.6,5.4,2,1.5,0.9,1.7,4.5,19.2,99,110,9,0.504,0.653,0.186,1.7,10.3,6.1,6,1.5,1.5,8.2,18.6,-0.2,0.9,0.7,0.041,-2.1,-1.4,-3.4,-0.3,53,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09,0.441,0.308,0.478,0.332,0,18.97,8.36,7.4,64.95,0.32,19.14,17.98,19.79,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16,49.2,10.93,9,14.79,9,6.75,0.32,0.307,0.412,0.357,0.457,0.393,0.429,0
Cristiano Felicio,C,26,CHI,60,0,746,6.2,11.6,0.531,0,0.3,0,6.2,11.4,0.543,3.3,4.7,0.685,5.1,9,14.2,2.4,0.7,0.5,2.1,4.5,15.6,116,114,13.4,0.568,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.088,-2.5,-1.1,-3.5,-0.3,60,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341,0.564,0.455,0.25,0,0,87.15,6.15,4.47,2.23,0,3.38,1.94,5.01,69.47,27.37,50.28,13.41,8.94,0.367,0.544,0.875,79.17,0,20.83,2.23,6.15,17.32,74.3,0,0,0,0,0.364,0.29,0.617,0,0,0
Dairis Bertans,SG,29,NOP,12,0,167,3.3,13.1,0.255,2.8,9.5,0.294,0.6,3.6,0.154,0,0,0,0.6,1.9,2.5,2.8,0.3,0,0.6,1.9,9.5,86,120,2,0.362,0.723,0,1.3,4.3,2.8,7.2,0.3,0,4.1,12,-0.2,0,-0.2,-0.054,-4.2,-3.5,-7.7,-0.2,12,0.25,0,0,0,0,1.25,0.25,1.33,0.723,0,0,0.167,0.294,0,0,2.13,25.53,72.34,0,23.17,24.25,22.8,91.67,100,0,0,0,0.255,0,0,11.76,88.24,0,57.45,25.53,2.13,0,8.51,6.38,0,0.296,0.167,0,0,0.5,0,0
