,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,def_kmean
2,Bogdan Bogdanovic,27.0,8.0,9.0,27.8,5.2,12.9,40.5,2.8,7.4,38.4,1.7,2.4,72.5,0.2,2.5,2.8,4.8,1.8,1.9,28.5,2.0,0.0,-1.2,2.5,14.1,1.5,34.7,0.1,3.8,8.8,6.3,5.1,24.5,0.07400000000000001,24.4,24.3,26.3,36.4,35.1,19.3,20.6,4.3,11.8,36.0,20.9,33.3,14.6,20.0,25.1,43.2,56.8,32.2,15.7,56.5,12.2,14.5,16.5,17.1,82.9,79.2,20.8,50.6,49.4,2.2,1.5,1.8,2.5,8.8,6.3,5.1,24.5,0.9,2.4,445.0,4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7,"$8,529,386 ",2
3,Bojan Bogdanovic,30.0,12.0,6.0,33.3,7.6,15.6,48.8,3.3,7.0,46.8,3.6,4.1,87.8,0.7,3.7,4.4,2.2,2.7,2.0,30.9,0.0,0.0,5.7,3.7,14.3,0.8,19.2,0.2,7.8,11.8,9.8,8.6,31.9,0.135,25.6,28.0,26.9,35.8,31.6,25.0,22.2,11.9,13.8,14.3,25.8,37.9,14.3,19.3,28.4,55.2,44.8,39.2,3.0,44.5,14.1,20.6,36.2,48.7,51.3,88.1,11.9,65.7,34.3,4.6,1.6,3.1,8.0,11.8,9.8,8.6,31.9,1.2,3.2,565.0,1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5,"$17,000,000 ",2
12,Danuel House Jr.,26.0,9.0,5.0,29.7,3.9,8.3,47.4,2.6,5.8,44.4,1.9,2.4,79.4,1.1,3.4,4.6,1.1,0.9,2.0,24.6,0.0,0.0,4.9,3.4,15.0,1.3,23.4,0.7,18.9,13.9,7.4,9.7,31.0,0.099,13.4,15.4,14.7,27.7,21.0,13.0,12.6,15.4,15.1,7.5,8.8,9.5,14.7,14.4,16.5,30.2,69.8,22.0,1.2,62.4,19.1,15.6,20.8,84.2,15.8,100.0,0.0,94.5,5.5,1.9,1.7,2.4,2.6,13.9,7.4,9.7,31.0,0.3,2.1,416.0,1.1,3.4,4.5,2.7,1.4,4.0,1.4,3.2,4.6,1.6,"$3,540,000 ",2
14,Dario Saric,25.0,8.0,10.0,27.8,3.8,9.2,41.6,1.7,4.7,36.9,1.2,1.4,84.6,1.6,5.4,7.1,2.0,1.4,2.5,25.1,3.0,0.0,2.1,5.4,27.6,1.0,24.7,0.5,25.7,9.9,7.6,6.8,28.2,0.067,16.8,15.9,17.8,21.5,21.9,11.5,11.1,29.3,28.0,12.1,15.9,17.9,19.1,13.4,15.9,49.4,50.6,39.8,4.2,48.7,8.4,16.2,35.6,71.1,28.9,96.8,3.2,82.6,17.4,1.7,0.4,0.9,3.8,9.9,7.6,6.8,28.2,0.6,1.9,468.0,-1.3,0.8,-0.5,4.2,-1.1,3.1,-0.4,0.5,0.1,0.7,"$3,481,986 ",2
18,Dennis Schroder,26.0,7.0,11.0,29.0,6.0,13.7,43.9,1.4,4.8,29.1,2.0,2.7,75.0,0.4,3.6,4.0,4.0,2.9,2.3,26.5,0.0,0.0,2.8,3.6,16.7,0.8,17.7,0.3,8.1,10.0,9.0,6.8,26.6,0.151,25.7,25.4,26.9,21.6,25.4,17.5,17.8,9.3,15.4,31.0,31.1,19.6,17.8,19.6,23.6,65.0,35.0,59.9,20.2,27.1,10.5,15.5,39.7,30.1,69.9,88.0,12.0,43.5,56.5,2.4,0.7,1.6,6.1,10.0,9.0,6.8,26.6,0.6,2.7,490.0,-1.9,0.2,-1.8,-2.3,14.8,12.6,-2.1,2.9,0.8,0.9,"$15,500,000 ",2
27,Glenn Robinson III,25.0,4.0,16.0,31.7,4.5,9.8,45.9,1.3,3.3,38.5,1.3,1.5,83.3,1.6,3.1,4.7,2.1,0.9,1.7,23.0,1.0,0.0,-7.3,3.1,14.0,1.0,19.4,0.3,8.9,12.6,9.7,7.9,33.5,0.015,14.7,17.6,16.9,18.5,16.6,9.8,9.7,25.0,16.5,12.1,9.5,20.8,11.9,8.9,16.3,66.8,33.2,56.5,15.7,32.6,21.3,25.7,40.9,76.9,23.1,88.0,12.0,80.0,20.0,3.0,1.5,2.5,4.7,12.6,9.7,7.9,33.5,0.8,1.1,604.0,-0.1,-1.4,-1.4,2.0,-5.4,-3.4,0.3,-2.1,-1.8,0.3,"$1,882,867 ",2
28,Goran Dragic,33.0,12.0,5.0,28.6,5.2,11.2,46.3,2.1,5.3,40.0,3.0,4.2,70.8,0.3,3.0,3.3,4.9,2.7,1.7,27.0,0.0,0.0,1.9,3.0,14.6,0.7,15.0,0.2,9.1,12.8,8.6,7.5,28.1,0.079,23.0,22.7,23.7,25.5,25.7,21.0,23.0,6.4,13.1,33.6,23.4,26.5,12.2,19.5,22.7,52.6,47.4,39.5,4.6,41.1,13.3,13.7,35.0,28.8,71.2,55.6,44.4,39.8,60.2,2.1,0.4,2.1,5.4,12.8,8.6,7.5,28.1,0.5,2.9,460.0,2.2,-2.5,-0.3,-1.2,-6.8,-8.0,1.7,-3.5,-1.7,0.2,"$19,217,900 ",2
31,JJ Redick,35.0,6.0,12.0,28.5,4.7,10.8,43.6,3.5,7.6,46.3,2.4,2.8,84.3,0.2,2.8,3.1,1.9,1.4,1.6,22.7,0.0,0.0,-1.5,2.8,14.0,0.4,8.4,0.3,10.0,12.1,9.1,9.2,30.8,0.033,18.4,18.6,19.7,38.9,33.1,22.6,20.2,3.2,11.2,12.5,13.7,15.2,12.0,20.1,21.8,30.3,69.7,15.9,10.9,68.5,18.8,14.5,5.1,90.9,9.1,90.5,9.5,90.6,9.4,2.2,1.5,2.9,0.8,12.1,9.1,9.2,30.8,0.4,2.5,479.0,2.5,-2.0,0.5,2.1,-1.6,0.6,2.5,-2.0,0.5,0.8,"$13,486,300 ",2
36,Jaren Jackson Jr.,20.0,5.0,12.0,26.8,5.5,12.1,45.4,2.1,5.1,40.2,2.1,2.6,79.5,1.4,3.6,5.0,1.4,1.8,3.9,25.9,1.0,0.0,-7.5,3.6,18.8,0.5,11.9,1.1,40.0,11.8,8.6,9.4,27.3,0.004,23.1,23.8,23.8,29.4,26.9,28.7,27.3,24.7,20.1,9.1,19.1,33.3,28.8,30.2,25.1,57.6,42.4,45.3,2.3,41.0,8.2,7.8,43.0,69.0,31.0,88.6,11.4,76.3,23.7,1.2,2.3,1.2,6.5,11.8,8.6,9.4,27.3,1.2,3.2,425.0,-0.7,-1.4,-2.1,0.5,-10.2,-9.7,-0.5,-3.0,-3.5,-0.2,"$6,927,480 ",2
41,Jonas Valanciunas,27.0,5.0,13.0,24.6,5.7,10.3,55.4,0.6,1.7,33.3,1.6,1.8,84.8,2.6,7.2,9.8,1.9,2.2,2.6,29.5,11.0,0.0,-3.8,7.2,37.7,0.3,8.3,0.9,38.1,10.7,6.0,7.4,24.8,0.058,21.6,27.2,22.1,10.0,11.1,21.2,19.8,43.1,39.0,14.6,23.5,17.9,24.9,19.4,24.6,83.9,16.1,76.2,4.1,12.3,7.0,12.3,72.1,54.8,45.2,100.0,0.0,59.2,40.8,1.7,3.5,0.9,9.8,10.7,6.0,7.4,24.8,0.7,1.8,412.0,-1.3,1.0,-0.3,-1.5,0.8,-0.6,-1.4,1.1,-0.3,0.5,"$16,000,000 ",2
