,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
2,Bogdan Bogdanovic,27.0,8.0,9.0,27.8,5.2,12.9,40.5,2.8,7.4,38.4,1.7,2.4,72.5,0.2,2.5,2.8,4.8,1.8,1.9,28.5,2.0,0.0,-1.2,2.5,14.1,1.5,34.7,0.1,3.8,8.8,6.3,5.1,24.5,0.07400000000000001,24.4,24.3,26.3,36.4,35.1,19.3,20.6,4.3,11.8,36.0,20.9,33.3,14.6,20.0,25.1,43.2,56.8,32.2,15.7,56.5,12.2,14.5,16.5,17.1,82.9,79.2,20.8,50.6,49.4,2.2,1.5,1.8,2.5,8.8,6.3,5.1,24.5,0.9,2.4,445.0,4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7,"$8,529,386 ",2
3,Bojan Bogdanovic,30.0,12.0,6.0,33.3,7.6,15.6,48.8,3.3,7.0,46.8,3.6,4.1,87.8,0.7,3.7,4.4,2.2,2.7,2.0,30.9,0.0,0.0,5.7,3.7,14.3,0.8,19.2,0.2,7.8,11.8,9.8,8.6,31.9,0.135,25.6,28.0,26.9,35.8,31.6,25.0,22.2,11.9,13.8,14.3,25.8,37.9,14.3,19.3,28.4,55.2,44.8,39.2,3.0,44.5,14.1,20.6,36.2,48.7,51.3,88.1,11.9,65.7,34.3,4.6,1.6,3.1,8.0,11.8,9.8,8.6,31.9,1.2,3.2,565.0,1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5,"$17,000,000 ",2
18,Dennis Schroder,26.0,7.0,11.0,29.0,6.0,13.7,43.9,1.4,4.8,29.1,2.0,2.7,75.0,0.4,3.6,4.0,4.0,2.9,2.3,26.5,0.0,0.0,2.8,3.6,16.7,0.8,17.7,0.3,8.1,10.0,9.0,6.8,26.6,0.151,25.7,25.4,26.9,21.6,25.4,17.5,17.8,9.3,15.4,31.0,31.1,19.6,17.8,19.6,23.6,65.0,35.0,59.9,20.2,27.1,10.5,15.5,39.7,30.1,69.9,88.0,12.0,43.5,56.5,2.4,0.7,1.6,6.1,10.0,9.0,6.8,26.6,0.6,2.7,490.0,-1.9,0.2,-1.8,-2.3,14.8,12.6,-2.1,2.9,0.8,0.9,"$15,500,000 ",2
28,Goran Dragic,33.0,12.0,5.0,28.6,5.2,11.2,46.3,2.1,5.3,40.0,3.0,4.2,70.8,0.3,3.0,3.3,4.9,2.7,1.7,27.0,0.0,0.0,1.9,3.0,14.6,0.7,15.0,0.2,9.1,12.8,8.6,7.5,28.1,0.079,23.0,22.7,23.7,25.5,25.7,21.0,23.0,6.4,13.1,33.6,23.4,26.5,12.2,19.5,22.7,52.6,47.4,39.5,4.6,41.1,13.3,13.7,35.0,28.8,71.2,55.6,44.4,39.8,60.2,2.1,0.4,2.1,5.4,12.8,8.6,7.5,28.1,0.5,2.9,460.0,2.2,-2.5,-0.3,-1.2,-6.8,-8.0,1.7,-3.5,-1.7,0.2,"$19,217,900 ",2
49,Kelly Oubre Jr.,23.0,8.0,10.0,31.0,6.1,13.2,46.0,1.6,4.4,35.4,3.8,4.7,81.2,1.3,4.6,5.9,1.7,1.7,3.2,31.2,2.0,0.0,0.6,4.6,21.2,1.3,28.2,0.6,21.7,10.4,8.5,8.3,32.2,0.066,22.4,22.9,23.1,19.3,20.3,28.6,28.7,25.3,22.0,9.7,17.9,35.3,22.0,23.6,23.6,66.7,33.3,51.4,6.3,26.7,15.9,23.5,45.1,55.6,44.4,96.4,3.6,66.1,33.9,4.1,2.2,2.8,7.9,10.4,8.5,8.3,32.2,1.3,4.1,518.0,1.2,1.6,2.9,-1.7,-2.0,-3.8,0.7,1.0,1.8,1.2,"$15,625,000 ",2
57,Luka Doncic,20.0,12.0,6.0,34.2,9.8,20.2,48.6,3.1,9.4,32.5,8.1,9.8,82.4,1.5,8.4,9.9,9.6,4.5,2.7,57.5,13.0,7.0,5.6,8.4,33.3,1.4,31.7,0.2,5.4,11.5,10.3,10.1,33.7,0.064,35.0,33.8,32.6,28.8,31.5,49.7,47.2,19.4,30.0,56.5,46.6,18.2,19.3,45.8,36.2,53.6,46.4,44.0,2.9,29.8,7.9,9.6,41.2,20.5,79.5,25.5,74.5,22.0,78.0,2.9,2.7,2.4,12.7,11.5,10.3,10.1,33.7,0.4,7.6,578.0,10.2,1.4,11.6,7.2,-5.1,2.2,10.0,0.3,10.3,3.9,"$7,683,360 ",2
58,Marcus Morris Sr.,30.0,4.0,15.0,33.0,6.0,14.2,42.4,2.8,5.4,52.4,3.8,4.6,83.9,1.2,4.9,6.2,1.3,1.9,3.3,30.8,1.0,0.0,-4.4,4.9,22.7,0.9,16.1,0.6,20.0,11.4,8.2,10.6,29.2,0.056,22.3,22.8,23.3,37.8,28.5,34.9,28.1,13.1,19.8,9.0,18.8,16.1,18.6,23.8,26.3,61.7,38.3,33.8,17.5,45.6,8.5,15.8,16.3,38.3,61.7,77.8,22.2,57.0,43.0,2.9,1.9,1.6,3.1,11.4,8.2,10.6,29.2,0.5,3.3,594.0,0.9,0.1,1.0,3.2,-0.9,2.3,1.4,0.0,1.4,1.2,"$15,000,000 ",2
65,Nikola Jokic,24.0,13.0,4.0,31.0,6.4,13.9,45.8,0.9,4.1,23.2,1.9,2.5,76.7,2.2,8.2,10.4,6.0,2.6,3.3,39.3,7.0,3.0,6.4,8.2,35.5,1.1,21.1,0.5,19.6,8.9,6.6,8.1,28.8,0.15,24.4,24.1,24.1,14.2,20.6,19.8,20.7,31.6,34.6,36.8,30.6,13.2,26.5,29.1,22.5,70.8,29.2,69.4,14.3,18.1,5.3,12.8,55.1,51.1,48.9,93.8,6.3,57.4,42.6,2.0,2.6,0.8,8.6,8.9,6.6,8.1,28.8,0.4,3.9,490.0,1.6,-0.2,1.4,2.6,-1.0,1.6,1.8,-0.5,1.3,1.0,"$26,573,595 ",2
80,Tomas Satoransky,28.0,6.0,14.0,26.2,3.5,7.6,46.4,1.4,3.1,44.3,1.0,1.2,87.0,0.9,2.5,3.4,5.3,2.1,2.2,23.9,0.0,0.0,-0.8,2.5,13.9,1.5,29.9,0.2,7.0,10.6,7.7,8.0,30.1,0.062,15.9,15.9,15.6,19.0,16.3,10.0,8.6,14.9,14.1,39.5,23.3,11.3,17.7,15.9,15.3,59.6,40.4,46.0,3.2,43.3,15.0,15.5,42.8,18.6,81.4,96.3,3.7,48.6,51.4,1.5,0.8,1.4,4.0,10.6,7.7,8.0,30.1,0.4,1.9,495.0,0.7,2.3,3.0,6.0,-0.7,5.3,1.8,1.9,3.6,1.6,"$10,000,000 ",2
81,Tremont Waters,21.0,1.0,0.0,19.7,2.0,7.0,28.6,1.0,5.0,20.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,2.0,2.0,20.9,0.0,0.0,20.0,2.0,14.3,1.0,25.0,2.0,66.7,5.0,9.0,3.0,6.0,0.12,21.3,10.5,18.9,16.7,31.3,16.7,16.7,0.0,9.5,30.0,40.0,0.0,25.0,11.1,12.5,28.6,71.4,28.6,0.0,42.9,0.0,0.0,28.6,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,9.0,3.0,6.0,0.0,1.0,20.0,3.0,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2,0,2
