,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,shoot_kmean
0,Ante Zizic,22,0,6,11.7,1.8,3.5,52.4,0.0,0.0,0.0,0.7,0.8,80.0,0.8,1.8,2.7,0.0,0.2,1.3,8.4,0,0,-2.0,1.8,23.4,0.2,14.3,0.2,33.3,2.8,3.3,2.8,12.3,-0.008,14.3,19.0,16.8,0.0,0.0,13.8,11.9,38.5,26.7,0.0,5.3,33.3,28.6,25.0,15.9,100.0,0.0,84.6,0.0,0.0,7.7,15.4,84.6,81.8,18.2,0.0,0.0,81.8,18.2,0.7,1.2,0.3,3.7,2.8,3.3,2.8,12.3,0.5,1.3,70.0,-4.5,-2.2,-6.6,0.1,-6.0,-5.9,-3.7,-3.0,-6.7,-0.1,"$2,281,800 ",0
1,Boban Marjanovic,31,6,3,12.0,2.8,5.4,51.0,0.0,0.1,0.0,1.1,1.3,83.3,1.4,2.9,4.3,0.6,0.8,1.7,12.9,0,0,5.6,2.9,29.5,0.2,16.7,0.1,11.1,4.3,2.9,4.0,11.3,0.041,22.9,22.9,23.0,0.0,1.2,29.4,30.8,40.6,32.5,8.6,25.0,38.5,30.6,42.5,20.4,98.0,2.0,83.3,3.3,0.0,3.3,10.0,80.0,44.0,56.0,0.0,0.0,44.0,56.0,0.7,2.6,0.2,5.3,4.3,2.9,4.0,11.3,0.6,1.9,108.0,0.6,-2.8,-2.2,14.4,-1.8,12.6,3.3,-2.8,0.6,0.2,"$3,500,000 ",0
5,Brian Bowen II,21,2,1,3.2,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,2.1,0,0,1.0,0.3,12.5,0.0,0.0,0.3,50.0,0.0,0.0,0.7,2.0,0.016,16.0,10.0,20.0,0.0,20.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,20.0,8.7,75.0,25.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,2.0,0.0,0.3,10.0,-7.4,9.0,1.6,-0.1,3.1,3.0,-6.3,8.3,2.0,0.0,0,0
10,Chris Silva,23,14,4,10.3,1.6,2.3,68.3,0.0,0.1,0.0,1.1,1.6,71.4,2.0,2.3,4.3,0.7,1.3,2.8,12.2,0,0,1.9,2.3,30.6,0.3,16.1,0.8,70.0,5.6,3.2,3.3,8.0,0.051,16.5,17.4,12.5,0.0,1.5,31.7,33.3,63.2,40.3,12.5,26.7,33.3,49.0,38.4,17.1,95.1,4.9,73.7,5.3,0.0,0.0,14.5,68.4,60.7,39.3,0.0,0.0,60.7,39.3,0.6,1.6,0.0,2.9,5.6,3.2,3.3,8.0,0.2,1.6,186.0,-1.1,2.0,0.9,4.3,0.6,4.9,-0.1,1.6,1.5,0.4,0,0
14,DaQuan Jeffries,22,0,2,5.4,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,2.4,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.083,3.6,9.1,4.0,0.0,0.0,0.0,0.0,50.0,10.0,14.3,0.0,0.0,16.7,33.3,8.3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.5,11.0,-0.8,11.0,10.2,-8.8,21.2,12.4,-2.5,13.9,11.4,0.1,0,0
21,Derrick Jones Jr.,22,5,1,12.3,2.2,3.8,56.5,0.2,0.8,20.0,1.0,1.3,75.0,0.5,1.3,1.8,0.5,0.5,2.3,10.5,0,0,2.0,1.3,12.7,0.7,44.4,0.2,12.5,4.5,4.5,4.5,12.7,0.071,15.3,19.7,16.1,4.8,8.9,18.8,19.5,33.3,15.3,7.5,12.5,25.0,32.6,27.3,17.8,78.3,21.7,72.7,0.0,9.1,6.1,18.2,72.7,83.3,16.7,100.0,0.0,84.6,15.4,1.0,1.2,0.3,4.0,4.5,4.5,4.5,12.7,0.2,1.5,74.0,-0.3,5.1,4.8,1.5,2.6,4.1,0.0,4.8,4.8,0.3,"$1,645,357 ",0
24,Drew Eubanks,22,3,1,7.8,1.3,2.5,50.0,0.0,0.0,0.0,0.3,0.3,100.0,1.3,2.0,3.3,0.5,1.0,1.0,7.2,0,0,-8.5,2.0,44.4,0.0,0.0,0.3,100.0,3.8,2.5,3.8,11.5,-0.052000000000000005,17.1,23.8,16.9,0.0,0.0,7.1,6.3,62.5,50.0,14.3,40.0,100.0,44.4,16.7,18.0,100.0,0.0,90.9,0.0,0.0,0.0,0.0,90.9,80.0,20.0,0.0,0.0,80.0,20.0,0.0,0.5,0.0,2.5,3.8,2.5,3.8,11.5,0.5,0.5,31.0,-5.9,-9.8,-15.7,-15.9,-19.6,-35.6,-8.4,-12.3,-20.6,-0.3,0,0
31,Harry Giles III,21,3,4,7.4,1.6,3.6,44.0,0.0,0.0,0.0,0.3,0.3,100.0,0.4,0.6,1.0,0.7,0.7,1.9,7.1,0,0,-3.7,0.6,14.8,0.3,20.0,0.4,42.9,2.0,1.3,1.9,6.9,0.008,27.0,29.7,28.1,0.0,0.0,16.7,11.8,37.5,20.0,21.7,29.4,20.0,39.4,23.8,25.3,100.0,0.0,91.7,33.3,0.0,8.3,25.0,58.3,81.8,18.2,0.0,0.0,81.8,18.2,0.9,0.3,0.3,2.0,2.0,1.3,1.9,6.9,0.1,0.7,52.0,-8.5,-3.1,-11.6,-12.6,-2.1,-14.7,-9.8,-3.1,-12.9,-0.3,"$2,578,800 ",0
34,Jakob Poeltl,24,8,14,19.0,2.5,4.4,57.3,0.0,0.0,0.0,0.7,1.3,55.2,2.3,3.9,6.2,1.5,1.0,1.9,20.2,1,0,1.7,3.9,28.9,0.6,22.6,1.3,49.1,4.8,5.4,5.0,17.5,0.051,12.7,14.0,11.8,0.0,0.0,11.9,16.8,51.0,34.5,14.7,19.4,26.5,24.6,20.9,12.5,100.0,0.0,87.3,1.6,0.0,10.3,11.1,85.7,72.7,27.3,0.0,0.0,72.7,27.3,0.6,1.8,0.6,4.9,4.8,5.4,5.0,17.5,0.6,1.6,417.0,0.2,4.9,5.1,8.1,2.2,10.3,1.9,4.8,6.6,2.0,"$3,754,886 ",0
43,Jonas Valanciunas,27,5,13,24.6,5.7,10.3,55.4,0.6,1.7,33.3,1.6,1.8,84.8,2.6,7.2,9.8,1.9,2.2,2.6,29.5,11,0,-3.8,7.2,37.7,0.3,8.3,0.9,38.1,10.7,6.0,7.4,24.8,0.058,21.6,27.2,22.1,10.0,11.1,21.2,19.8,43.1,39.0,14.6,23.5,17.9,24.9,19.4,24.6,83.9,16.1,76.2,4.1,12.3,7.0,12.3,72.1,54.8,45.2,100.0,0.0,59.2,40.8,1.7,3.5,0.9,9.8,10.7,6.0,7.4,24.8,0.7,1.8,444.0,-0.7,0.9,0.2,-1.8,0.3,-1.4,-0.9,0.9,0.0,0.6,"$16,000,000 ",0
44,Jordan Bone,22,1,2,2.1,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0,0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.016,41.2,66.7,55.6,0.0,33.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,0.0,33.3,80.0,20.0,100.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.0,6.0,-30.2,-10.4,-40.6,-22.9,6.8,-16.1,-30.7,-7.4,-38.1,-0.1,0,0
62,Marvin Bagley III,20,0,1,27.7,6.0,16.0,37.5,0.0,0.0,0.0,2.0,4.0,50.0,4.0,6.0,10.0,0.0,1.0,1.0,31.0,1,0,-21.0,6.0,24.0,1.0,50.0,1.0,33.3,17.0,10.0,22.0,48.0,-0.029,25.7,27.3,31.4,0.0,0.0,28.6,33.3,50.0,30.3,0.0,5.9,50.0,7.7,30.0,24.1,100.0,0.0,85.7,28.6,0.0,0.0,14.3,57.1,66.7,33.3,0.0,0.0,66.7,33.3,2.0,7.0,0.0,8.0,17.0,10.0,22.0,48.0,3.0,3.0,28.0,-7.2,0.9,-6.3,-11.8,-6.9,-18.7,-8.5,-0.6,-9.2,-0.1,"$8,556,120 ",0
63,Melvin Frazier Jr.,23,1,2,2.8,0.3,1.7,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,1.6,0,0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,0.7,2.7,0.001,20.8,11.1,26.3,0.0,33.3,0.0,0.0,25.0,14.3,16.7,0.0,100.0,0.0,0.0,10.0,80.0,20.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.7,0.7,0.0,0.0,1.0,1.7,0.7,2.7,0.3,0.0,8.0,-3.2,-23.8,-27.1,-2.3,-12.1,-14.4,-3.1,-22.8,-25.9,-0.1,"$1,416,852 ",0
65,Moses Brown,20,3,1,3.8,0.8,1.8,42.9,0.0,0.0,0.0,0.5,1.0,50.0,0.5,1.8,2.3,0.0,0.3,1.0,5.2,0,0,-3.5,1.8,53.8,0.3,33.3,0.0,0.0,0.5,1.3,1.3,4.0,-0.025,22.7,23.1,23.3,0.0,0.0,33.3,44.4,50.0,52.9,0.0,25.0,0.0,44.4,50.0,23.5,100.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,66.7,33.3,0.0,0.0,66.7,33.3,0.0,1.5,0.0,1.5,0.5,1.3,1.3,4.0,0.0,0.5,15.0,-1.8,-7.4,-9.2,-4.8,-18.7,-23.6,-2.7,-10.3,-13.0,-0.1,0,0
69,Nikola Vucevic,29,6,8,30.8,6.8,15.1,45.0,1.1,3.6,32.0,2.4,2.8,84.6,2.9,8.6,11.6,3.5,1.4,1.9,39.9,10,0,4.2,8.6,36.7,0.6,12.3,1.1,26.8,8.8,6.9,6.3,28.0,0.12,25.0,26.3,26.7,17.2,18.7,21.7,21.0,44.1,38.3,21.7,19.6,28.9,17.8,21.8,24.7,76.3,23.7,66.1,7.5,20.1,2.9,10.9,58.6,72.2,27.8,100.0,0.0,76.8,23.2,1.9,1.4,0.5,10.0,8.8,6.9,6.3,28.0,0.8,2.7,431.0,-0.2,1.9,1.7,4.9,-0.2,4.7,0.9,1.5,2.4,1.1,"$28,000,000 ",0
74,Robert Williams III,22,12,5,13.9,1.9,2.6,71.1,0.0,0.0,0.0,0.4,0.7,58.3,1.1,3.2,4.4,1.2,0.9,1.8,16.7,0,0,-0.3,3.2,35.7,0.9,29.1,1.2,58.8,5.1,5.1,3.3,12.4,0.025,11.7,15.6,10.4,0.0,0.0,7.6,10.5,37.3,36.1,18.9,24.2,0.0,25.9,12.8,12.7,100.0,0.0,90.1,5.6,0.0,5.6,14.1,84.5,75.0,25.0,0.0,0.0,75.0,25.0,0.6,1.0,0.2,3.5,5.1,5.1,3.3,12.4,0.0,0.8,237.0,-2.4,2.4,0.0,3.6,-7.4,-3.8,-1.3,0.4,-0.9,0.2,"$1,937,520 ",0
75,Shamorie Ponds,21,2,0,3.8,1.0,2.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,5.6,0,0,0.0,0.5,33.3,0.0,0.0,0.5,50.0,1.0,2.0,1.5,2.0,-0.025,20.0,28.6,26.7,0.0,16.7,0.0,0.0,0.0,16.7,40.0,0.0,0.0,40.0,0.0,19.0,75.0,25.0,100.0,0.0,0.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,50.0,1.0,0.0,1.0,2.0,1.0,2.0,1.5,2.0,0.0,0.0,8.0,6.2,-42.0,-35.8,16.5,-22.1,-5.6,8.6,-40.6,-32.0,-0.1,0,0
76,Skal Labissiere,23,8,13,17.0,2.8,4.9,57.3,0.1,0.3,28.6,0.7,1.0,68.2,2.1,3.2,5.3,1.1,1.1,2.8,17.2,1,0,-1.3,3.2,23.7,0.2,11.4,1.0,51.2,5.6,5.4,4.8,17.9,0.053,15.7,19.9,15.3,2.1,2.7,12.7,14.3,55.7,30.7,15.9,21.7,11.8,31.5,14.7,16.7,93.2,6.8,84.4,20.7,4.4,8.1,6.7,63.7,73.7,26.3,100.0,0.0,74.6,25.4,0.4,1.6,0.5,4.1,5.6,5.4,4.8,17.9,0.2,1.1,357.0,-0.4,0.4,-0.1,-1.7,0.2,-1.5,-0.7,0.4,-0.4,0.4,"$2,338,847 ",0
78,Tacko Fall,23,1,0,3.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,6.6,0,0,-2.0,3.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.036000000000000004,62.5,66.7,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,50.0,0.0,100.0,0.0,66.7,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,-32.3,-0.4,-32.7,-13.8,2.2,-11.6,-30.4,-0.1,-30.6,-0.1,0,0
82,TJ Leaf,22,9,6,10.5,1.7,3.9,44.8,0.3,0.7,45.5,0.3,0.5,62.5,1.3,2.5,3.8,0.4,0.4,0.9,10.9,1,0,0.7,2.5,29.1,0.5,35.0,0.2,15.0,3.9,2.3,2.8,9.9,0.073,17.1,19.4,18.8,17.2,12.1,13.5,16.3,46.5,33.5,7.3,10.5,25.0,23.3,14.0,18.6,81.0,19.0,67.7,0.0,24.2,12.9,12.9,67.7,66.7,33.3,100.0,0.0,73.1,26.9,0.5,0.7,0.5,2.8,3.9,2.3,2.8,9.9,0.3,0.5,158.0,0.2,0.9,1.1,-6.6,5.8,-0.8,-1.2,1.9,0.7,0.3,0,0
86,Tyler Cook,22,2,4,2.9,0.8,1.0,83.3,0.0,0.0,0.0,0.3,0.3,100.0,0.5,0.3,0.8,0.0,0.2,0.2,3.3,0,0,-1.0,0.3,28.6,0.2,14.3,0.0,0.0,1.7,1.3,0.5,1.7,0.008,19.5,38.5,19.4,0.0,0.0,28.6,22.2,60.0,41.7,0.0,25.0,0.0,20.0,28.6,34.3,100.0,0.0,83.3,16.7,0.0,16.7,33.3,66.7,60.0,40.0,0.0,0.0,60.0,40.0,0.7,0.7,0.3,1.3,1.7,1.3,0.5,1.7,0.0,0.3,17.0,1.3,-1.4,-0.1,-5.8,0.8,-5.0,0.0,-0.9,-0.9,0.0,0,0
88,Wendell Carter Jr.,20,7,14,29.3,4.9,8.7,56.6,0.1,0.7,14.3,2.7,3.9,69.1,3.7,6.0,9.7,0.9,1.5,4.0,28.5,11,0,0.0,6.0,29.7,0.7,12.6,0.8,42.1,10.9,7.0,9.4,29.0,0.091,16.8,20.6,15.9,1.2,3.1,23.5,25.9,52.4,35.5,6.4,15.9,27.6,28.1,25.2,18.8,92.3,7.7,76.5,3.8,2.3,8.0,19.3,72.7,63.4,36.6,100.0,0.0,64.1,35.9,2.4,4.4,1.0,9.1,10.9,7.0,9.4,29.0,1.0,3.4,616.0,-2.0,-1.0,-3.0,5.6,1.9,7.5,-0.5,-0.5,-0.9,0.6,"$5,201,400 ",0
93,Zylan Cheatham,24,1,1,9.9,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,1.5,3.1,0,0,-11.5,1.5,25.0,0.0,0.0,0.0,0.0,4.0,5.5,3.0,12.0,-0.044,12.2,9.1,12.9,0.0,7.1,0.0,0.0,0.0,23.1,14.3,14.3,0.0,37.5,0.0,6.7,75.0,25.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,5.5,3.0,12.0,0.0,0.0,20.0,-8.1,-9.8,-17.9,-15.7,-17.3,-33.0,-10.2,-11.9,-22.1,-0.2,0,0
100,Anthony Davis,26,17,3,34.7,9.1,18.9,48.0,1.2,3.4,34.3,6.8,7.9,86.1,2.6,6.7,9.3,3.3,2.4,2.4,52.1,9,0,6.0,6.7,25.5,1.4,21.5,2.7,50.0,12.7,8.1,13.1,30.9,0.153,29.1,29.6,29.3,15.2,15.6,51.9,45.3,34.2,27.5,16.8,21.6,28.9,16.7,39.5,31.9,82.2,17.8,60.7,10.4,13.2,9.8,15.2,50.3,62.0,38.0,100.0,0.0,66.9,33.1,4.0,3.4,2.6,13.1,12.7,8.1,13.1,30.9,0.7,6.2,693.0,2.4,4.1,6.4,-3.9,3.9,0.1,1.1,4.2,5.3,2.9,"$27,093,019",0
128,Montrezl Harrell,25,16,6,29.7,8.0,13.2,60.1,0.0,0.4,0.0,3.2,5.1,61.9,3.0,5.0,8.0,2.2,1.8,2.2,36.3,6,0,7.1,5.0,21.6,0.9,19.0,1.2,37.1,9.9,8.2,8.9,27.0,0.126,22.8,30.1,23.8,0.0,1.9,22.1,27.6,42.0,26.4,15.0,18.1,31.2,16.0,29.8,25.8,97.3,2.7,83.3,0.0,0.0,15.0,15.0,83.3,57.7,42.3,0.0,0.0,57.7,42.3,2.9,4.4,2.9,15.9,9.9,8.2,8.9,27.0,1.1,4.9,654.0,1.9,5.9,7.8,5.9,1.7,7.6,2.8,5.3,8.1,3.6,"$6,000,000",0
131,LaMarcus Aldridge,34,7,13,32.8,7.7,14.8,51.7,0.6,1.6,35.5,3.0,3.6,83.3,2.1,4.7,6.7,2.5,1.7,2.2,36.3,2,0,-5.1,4.7,19.3,0.7,16.9,1.8,52.2,9.6,8.3,10.0,32.9,0.015,23.3,27.4,24.9,9.5,9.3,22.9,22.2,34.2,22.3,15.7,17.7,12.1,16.4,24.4,25.2,89.5,10.5,75.3,34.5,8.8,2.1,8.2,40.8,62.0,38.0,100.0,0.0,64.7,35.3,1.6,2.9,0.4,7.7,9.6,8.3,10.0,32.9,0.4,3.4,656.0,-1.0,0.5,-0.5,-3.0,-4.6,-7.7,-1.5,-0.4,-2.0,0.3,"$26,000,000",0
136,Domantas Sabonis,23,12,6,34.1,7.3,14.2,51.4,0.3,1.2,23.8,3.6,4.5,80.2,3.7,9.3,13.0,3.8,2.7,3.7,40.6,15,0,5.1,9.3,37.7,0.7,13.5,0.5,16.4,10.7,6.9,7.9,32.1,0.133,23.4,23.9,22.3,4.2,6.7,34.2,35.8,50.0,40.5,22.3,26.9,35.1,24.7,35.3,23.7,91.8,8.2,75.9,12.7,4.5,4.5,13.3,63.3,61.1,38.9,100.0,0.0,62.6,37.4,2.4,3.0,0.8,11.7,10.7,6.9,7.9,32.1,1.1,4.9,614.0,0.6,0.7,1.2,3.2,2.0,5.1,1.1,0.9,2.0,1.5,"$3,529,555",0
142,Deandre Ayton,21,1,0,33.4,9.0,14.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,2.0,46.2,1,0,25.0,8.0,29.6,1.0,10.0,4.0,44.4,6.0,7.0,8.0,22.0,0.444,16.1,26.5,20.3,0.0,0.0,0.0,0.0,42.9,32.4,0.0,0.0,0.0,15.4,6.3,22.0,100.0,0.0,100.0,22.2,0.0,11.1,22.2,77.8,66.7,33.3,0.0,0.0,66.7,33.3,4.0,4.0,2.0,14.0,6.0,7.0,8.0,22.0,0.0,1.0,33.0,-0.2,13.7,13.4,-0.1,19.2,19.1,-0.3,15.7,15.4,0.3,"$9,562,920",0
145,Eric Paschall,23,4,17,31.7,6.4,12.5,51.0,0.7,2.4,29.4,3.9,4.8,81.0,1.6,3.8,5.4,1.8,1.6,2.1,26.9,2,0,-6.4,3.8,18.1,0.3,6.6,0.3,11.3,12.1,9.4,10.4,34.6,0.022000000000000002,21.1,25.0,21.4,12.4,13.8,28.3,29.3,23.9,19.5,11.2,17.5,30.4,17.1,26.6,24.6,80.6,19.4,65.4,11.5,12.4,7.4,14.0,53.8,56.3,43.7,93.3,6.7,60.4,39.6,2.4,2.2,1.3,9.3,12.1,9.4,10.4,34.6,1.1,3.5,666.0,-0.7,-4.9,-5.7,1.6,-5.3,-3.7,-0.2,-5.2,-5.5,-0.9,"$898,310",0
148,Andre Drummond,26,8,13,33.9,7.2,13.3,53.9,0.0,0.5,0.0,2.7,4.2,62.9,4.6,12.3,16.9,3.1,3.9,3.8,48.9,17,0,0.4,12.3,50.4,1.7,35.0,1.9,53.3,13.7,9.3,10.0,34.5,0.08800000000000001,24.2,25.3,22.2,0.0,2.2,25.6,30.1,64.7,53.6,17.6,32.5,45.5,28.0,31.6,22.5,96.4,3.6,84.4,1.1,0.0,4.5,11.7,83.2,58.9,41.1,0.0,0.0,58.9,41.1,2.0,4.6,0.8,14.2,13.7,9.3,10.0,34.5,1.4,4.4,712.0,-2.2,3.6,1.3,-1.7,2.4,0.7,-2.3,3.6,1.3,1.5,"$27,093,019",0
156,Jabari Parker,24,5,16,28.0,6.7,13.5,49.6,1.0,4.0,26.5,1.9,2.6,72.2,2.0,4.5,6.5,2.0,1.8,3.2,31.4,2,0,-3.3,4.5,25.5,1.6,27.5,0.5,18.2,10.5,8.0,9.0,28.4,0.006,23.8,26.8,25.9,16.8,21.8,17.6,18.8,35.3,27.9,13.4,19.8,28.1,24.2,16.9,24.4,70.8,29.2,69.4,4.7,19.2,14.6,22.4,64.7,59.7,40.3,95.5,4.5,65.2,34.8,3.7,2.7,2.4,10.6,10.5,8.0,9.0,28.4,1.2,2.1,588.0,1.7,-1.1,0.6,9.8,-6.1,3.6,3.6,-2.1,1.4,1.3,"$6,500,000",0
162,Clint Capela,25,9,7,32.7,6.8,10.4,65.7,0.0,0.0,0.0,1.4,3.1,46.9,4.0,11.1,15.1,1.1,1.5,2.9,41.9,12,0,1.9,11.1,42.3,0.9,14.6,2.0,52.5,13.4,9.2,12.8,35.4,0.109,15.9,24.8,16.9,0.0,0.0,10.2,16.5,49.2,44.0,6.8,12.9,36.8,19.8,18.2,19.1,100.0,0.0,90.5,0.8,0.0,14.1,12.9,89.6,83.5,16.5,0.0,0.0,83.5,16.5,1.9,3.4,2.1,13.5,13.4,9.2,12.8,35.4,1.3,2.7,524.0,-0.7,6.0,5.3,-2.9,-0.3,-3.2,-1.3,5.0,3.7,1.7,"$16,456,522",0
164,Hassan Whiteside,30,8,10,27.5,6.1,10.4,58.8,0.0,0.0,0.0,2.7,3.6,75.4,3.8,8.7,12.4,0.9,2.1,3.0,36.6,12,0,1.3,8.7,41.8,0.4,13.5,2.1,59.4,8.1,8.4,7.6,25.0,0.053,21.1,25.5,19.8,0.0,0.0,24.7,28.4,57.6,45.6,7.5,26.6,17.5,25.8,31.2,23.0,100.0,0.0,81.8,9.7,0.0,2.2,13.4,72.1,66.4,33.6,0.0,0.0,66.4,33.6,2.0,4.0,0.3,10.8,8.1,8.4,7.6,25.0,0.6,3.4,495.0,-0.2,3.0,2.8,0.4,-2.6,-2.2,-0.1,2.0,1.9,1.2,"$27,093,018",0
170,Bam Adebayo,22,15,5,32.3,5.2,9.0,57.2,0.1,0.3,16.7,3.8,5.7,66.7,2.5,8.0,10.4,4.1,2.8,2.6,38.1,11,0,4.2,8.0,32.9,1.5,23.6,1.3,38.5,13.2,8.6,7.8,29.7,0.145,19.2,19.8,16.6,0.7,1.5,27.6,31.7,44.1,35.0,23.8,23.4,21.2,18.8,31.5,19.3,96.7,3.3,72.1,3.5,1.1,5.3,13.8,68.6,75.5,24.5,100.0,0.0,75.7,24.3,2.0,2.5,0.8,9.7,13.2,8.6,7.8,29.7,0.6,5.1,646.0,-1.0,3.9,2.9,-1.3,2.6,1.3,-1.1,3.7,2.6,1.8,"$3,454,080",0
171,Rudy Gobert,27,11,8,34.4,5.2,7.9,64.9,0.0,0.0,0.0,3.7,5.9,61.9,3.4,10.3,13.7,1.2,2.2,3.2,38.6,13,0,2.8,10.3,38.4,0.8,18.2,2.1,67.2,12.3,8.8,9.6,32.0,0.14800000000000002,15.8,18.7,13.2,0.0,0.0,26.3,32.3,57.7,41.8,7.5,20.2,18.3,21.8,35.1,18.1,100.0,0.0,73.7,0.0,0.0,4.1,15.8,73.7,71.4,28.6,0.0,0.0,71.4,28.6,2.2,3.6,0.6,10.3,12.3,8.8,9.6,32.0,0.7,6.1,654.0,-1.4,6.8,5.4,0.1,3.5,3.6,-1.2,6.5,5.3,2.7,"$25,008,427",0
