Player,Age,W,L,MP,salary,shoot_kmean
Stephen Curry,31,1,3,28,"$40,231,758 ",1
Chris Paul,34,8,11,30.5,"$38,506,482 ",1
Russell Westbrook,31,11,7,34.1,"$38,178,000 ",1
James Harden,30,13,7,37.4,"$37,800,000 ",1
LeBron James,34,18,3,34.9,"$37,436,858 ",1
Kemba Walker,29,13,5,32.3,"$34,379,100 ",1
Blake Griffin,30,4,5,28.4,"$34,234,964 ",1
Kyle Lowry,33,6,3,36.7,"$33,296,296 ",1
Kawhi Leonard,28,13,3,31.2,"$32,742,000 ",1
Jimmy Butler,30,13,3,33.9,"$32,742,000 ",1
Mike Conley,32,12,9,29.9,"$32,511,623 ",1
Kyrie Irving,27,4,7,33.8,"$31,742,000 ",1
Tobias Harris,27,15,6,34.2,"$31,034,483 ",1
Khris Middleton,28,11,3,27.4,"$30,603,448 ",1
Damian Lillard,29,8,11,36.6,"$29,802,321 ",1
DeMar DeRozan,30,8,14,34,"$27,739,975 ",1
CJ McCollum,28,8,13,36.4,"$27,556,959 ",1
Joel Embiid,25,13,4,30.1,"$27,504,630 ",1
D'Angelo Russell,23,1,9,31.5,"$27,285,000 ",1
Andrew Wiggins,24,9,7,35,"$27,270,000 ",1
Otto Porter Jr.,26,3,6,25.1,"$27,250,576 ",1
Devin Booker,23,9,10,35.6,"$27,250,000 ",1
Bradley Beal,26,6,13,36.8,"$27,093,019 ",1
Nikola Jokic,24,13,5,31.2,"$26,573,595 ",1
Jrue Holiday,29,6,13,36.2,"$26,131,111 ",1
Giannis Antetokounmpo,24,18,3,31.9,"$25,842,697 ",1
Nicolas Batum,30,4,7,21.4,"$25,565,217 ",1
Harrison Barnes,27,8,11,35.1,"$24,147,727 ",1
Malcolm Brogdon,26,11,6,31.8,"$20,000,000 ",1
Terry Rozier,25,8,14,32.3,"$19,894,737 ",1
Aaron Gordon,24,8,9,30.6,"$19,863,636 ",1
Zach LaVine,24,7,14,32.2,"$19,500,000 ",1
Goran Dragic,33,13,5,28.7,"$19,217,900 ",1
Jeff Teague,31,8,7,28.9,"$19,000,000 ",1
Evan Turner,31,3,10,13.4,"$18,606,557 ",1
